player_id,season,season_type,team_id,minutes_played,touches,avg_sec_per_touch,pts_per_touch,time_of_poss,player_name,team_abbreviation,usage_percentage,friction_score,touch_efficiency,possession_efficiency,friction_percentile,touch_efficiency_percentile
1628374,2023-24,Regular Season,1610612762,,50.7,1.84,0.459,1.6,Lauri Markkanen,UTA,0.241,4.008714596949891,0.24945652173913044,14.544562500000001,1.0,1.0
1628386,2023-24,Regular Season,1610612739,,50.0,1.62,0.33,1.3,Jarrett Allen,CLE,0.191,4.909090909090909,0.2037037037037037,12.692307692307692,0.9904761904761905,0.9904761904761905
202696,2023-24,Regular Season,1610612741,,63.9,1.42,0.281,1.5,Nikola Vučević,CHI,0.233,5.053380782918149,0.197887323943662,11.970600000000001,0.9809523809523809,0.9809523809523809
1626157,2023-24,Regular Season,1610612750,,53.2,2.13,0.409,1.9,Karl-Anthony Towns,MIN,0.268,5.207823960880195,0.192018779342723,11.452,0.9714285714285714,0.9714285714285714
1629028,2023-24,Regular Season,1610612757,,54.5,1.76,0.303,1.6,Deandre Ayton,SAC,0.211,5.808580858085809,0.1721590909090909,10.3209375,0.9619047619047619,0.9619047619047619
203954,2023-24,Regular Season,1610612755,,74.6,2.73,0.465,3.4,Joel Embiid,PHX,0.387,5.870967741935483,0.17032967032967034,10.20264705882353,0.9523809523809523,0.9523809523809523
1641705,2023-24,Regular Season,1610612759,,59.2,2.34,0.362,2.3,Victor Wembanyama,TOR,0.312,6.464088397790055,0.1547008547008547,9.317565217391305,0.9428571428571428,0.9428571428571428
203076,2023-24,Regular Season,1610612747,,73.4,2.26,0.338,2.8,Anthony Davis,LAL,0.261,6.686390532544378,0.14955752212389384,8.860428571428574,0.9333333333333333,0.9333333333333333
1630578,2023-24,Regular Season,1610612745,,61.4,2.32,0.344,2.4,Alperen Sengun,HOU,0.27,6.744186046511628,0.1482758620689655,8.800666666666666,0.9238095238095239,0.9238095238095239
1631096,2023-24,Regular Season,1610612760,,55.4,2.03,0.299,1.9,Chet Holmgren,OKC,0.21,6.789297658862876,0.14729064039408868,8.71821052631579,0.9142857142857143,0.9142857142857143
1628991,2023-24,Regular Season,1610612763,,54.8,2.91,0.411,2.7,Jaren Jackson Jr.,MEM,0.302,7.080291970802921,0.14123711340206185,8.341777777777777,0.9047619047619048,0.9047619047619048
1629628,2023-24,Regular Season,1610612761,,53.0,2.72,0.381,2.4,RJ Barrett,WAS,0.257,7.139107611548557,0.1400735294117647,8.41375,0.8952380952380953,0.8952380952380953
1627783,2023-24,Regular Season,1610612754,,58.3,2.68,0.372,2.6,Pascal Siakam,PHI,0.25,7.204301075268818,0.13880597014925372,8.341384615384614,0.8857142857142857,0.8857142857142857
1630596,2023-24,Regular Season,1610612739,,59.4,1.92,0.264,1.9,Evan Mobley,CLE,0.2,7.2727272727272725,0.1375,8.253473684210526,0.8761904761904762,0.8761904761904762
203924,2023-24,Regular Season,1610612757,,52.5,2.92,0.4,2.6,Jerami Grant,SAC,0.255,7.3,0.13698630136986303,8.076923076923077,0.8666666666666667,0.8666666666666667
1628970,2023-24,Regular Season,1610612766,,65.5,2.44,0.32,2.7,Miles Bridges,IND,0.242,7.625,0.13114754098360656,7.762962962962962,0.8571428571428571,0.8571428571428571
