player_name,draft_year,usg_y1,nc_score,new_skills,skill_details
Kristaps Porziņģis,2015-16,0.243,1.5,1,Zone_Floater(1.5)
T.J. McConnell,2015-16,0.167,1.0,1,Zone_Corner_3(1.0)
Jahlil Okafor,2015-16,0.272,0.0,0,
Tyus Jones,2015-16,0.151,2.0,2,"Method_CatchShoot3(1.5), Zone_Rim(0.5)"
Delon Wright,2015-16,0.218,4.2,4,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2)"
D'Angelo Russell,2015-16,0.238,1.0,1,Zone_Mid_Range(1.0)
Karl-Anthony Towns,2015-16,0.243,1.5,1,Method_CatchShoot3(1.5)
Richaun Holmes,2015-16,0.171,1.5,1,Zone_Floater(1.5)
Kelly Oubre Jr.,2015-16,0.166,3.0,1,Method_PullUp3(3.0)
Devin Booker,2015-16,0.228,4.0,2,"Zone_Mid_Range(1.0), Method_PullUp3(3.0)"
Cameron Payne,2015-16,0.199,4.7,3,"Zone_Rim(0.5), Method_PullUp3(3.0), Zone_Above_Break_3(1.2)"
Myles Turner,2015-16,0.207,2.7,2,"Method_CatchShoot3(1.5), Zone_Above_Break_3(1.2)"
Trey Lyles,2015-16,0.178,1.5,2,"Zone_Mid_Range(1.0), Zone_Rim(0.5)"
Bobby Portis,2015-16,0.203,4.0,3,"Method_CatchShoot3(1.5), Zone_Mid_Range(1.0), Zone_Floater(1.5)"
Kevon Looney,2015-16,0.14,1.5,2,"Zone_Mid_Range(1.0), Zone_Rim(0.5)"
Terry Rozier,2015-16,0.168,6.7,4,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Zone_Above_Break_3(1.2), Method_PullUp3(3.0)"
Norman Powell,2015-16,0.174,1.5,1,Zone_Floater(1.5)
Pat Connaughton,2015-16,0.178,4.7,4,"Method_CatchShoot3(1.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2), Zone_Floater(1.5)"
Josh Richardson,2015-16,0.134,3.5,2,"Zone_Mid_Range(1.0), Method_PullUp2(2.5)"
Larry Nance Jr.,2015-16,0.124,0.0,0,
Ben Simmons,2017-18,0.219,0.0,0,
Domantas Sabonis,2016-17,0.156,2.0,2,"Zone_Rim(0.5), Zone_Floater(1.5)"
Malik Beasley,2016-17,0.216,8.2,6,"Zone_Corner_3(1.0), Zone_Mid_Range(1.0), Method_CatchShoot3(1.5), Method_PullUp3(3.0), Zone_Rim(0.5), Zone_Above_Break_3(1.2)"
Kris Dunn,2016-17,0.139,5.2,3,"Zone_Mid_Range(1.0), Method_PullUp3(3.0), Zone_Above_Break_3(1.2)"
Buddy Hield,2016-17,0.209,0.5,1,Zone_Rim(0.5)
Brandon Ingram,2016-17,0.166,6.2,4,"Zone_Mid_Range(1.0), Zone_Above_Break_3(1.2), Method_PullUp2(2.5), Zone_Floater(1.5)"
Skal Labissiere,2016-17,0.209,0.0,0,
Caris LeVert,2016-17,0.161,1.2,1,Zone_Above_Break_3(1.2)
Dejounte Murray,2016-17,0.23,7.7,6,"Zone_Corner_3(1.0), Zone_Mid_Range(1.0), Method_CatchShoot3(1.5), Method_PullUp2(2.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2)"
Jamal Murray,2016-17,0.212,5.2,3,"Zone_Mid_Range(1.0), Method_PullUp3(3.0), Zone_Above_Break_3(1.2)"
Jakob Poeltl,2016-17,0.117,1.5,1,Zone_Floater(1.5)
Taurean Prince,2016-17,0.168,4.2,2,"Method_PullUp3(3.0), Zone_Above_Break_3(1.2)"
Jaylen Brown,2016-17,0.176,2.2,2,"Zone_Mid_Range(1.0), Zone_Above_Break_3(1.2)"
Malcolm Brogdon,2016-17,0.182,1.5,2,"Zone_Mid_Range(1.0), Zone_Rim(0.5)"
Georges Niang,2016-17,0.184,6.7,6,"Zone_Corner_3(1.0), Zone_Mid_Range(1.0), Method_CatchShoot3(1.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2), Zone_Floater(1.5)"
Pascal Siakam,2016-17,0.129,3.5,3,"Zone_Corner_3(1.0), Zone_Mid_Range(1.0), Method_CatchShoot3(1.5)"
Guerschon Yabusele,2017-18,0.146,4.2,4,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2)"
Ivica Zubac,2016-17,0.201,0.0,0,
Markelle Fultz,2017-18,0.218,4.0,3,"Zone_Mid_Range(1.0), Zone_Rim(0.5), Method_PullUp2(2.5)"
Lonzo Ball,2017-18,0.169,5.7,4,"Zone_Corner_3(1.0), Zone_Rim(0.5), Method_PullUp3(3.0), Zone_Above_Break_3(1.2)"
De'Aaron Fox,2017-18,0.227,4.0,3,"Method_CatchShoot3(1.5), Zone_Mid_Range(1.0), Zone_Floater(1.5)"
Jayson Tatum,2017-18,0.192,0.0,0,
