season,unified_score,versatility,specialization,scalability,dominance,evolution,primary_archetype
2015-16,35.60653093222233,66.01865980634952,0.0,0.0,0.0,50.0,Versatility
2016-17,35.60653093222233,66.01865980634952,0.0,0.0,0.0,50.0,Versatility
2017-18,35.60653093222233,66.01865980634952,0.0,0.0,0.0,50.0,Versatility
2018-19,59.24823168222253,66.01865980634952,48.91383219954649,65.0,50.00158765022778,50.0,Versatility
2019-20,58.364344494169444,66.01865980634952,57.04368803630628,55.0,49.96891552870547,50.0,Versatility
2020-21,67.76346130761404,66.01865980634952,57.47761103354273,85.0,50.132741493181186,50.0,Scalability
2021-22,66.67381055214301,66.01865980634952,52.076734650322564,85.0,50.0379867049112,50.0,Scalability
2022-23,61.521043501457804,66.01865980634952,60.79720444283934,65.0,50.05071680667604,50.0,Versatility
2023-24,61.45175168178894,66.01865980634952,60.35049899469375,65.0,50.25120950627867,50.0,Versatility
2024-25,57.94074356805115,66.01865980634952,55.30028600469551,55.0,50.09141134654938,50.0,Versatility
