player_name,season,cii,archetype,confidence,cii_self_created,cii_pressure_appetite,cii_difficulty_embrace,cii_defensive_survival,cii_force_multiplication
Aaron Brooks,2015-16,40.86,Fragile Star,High,35.64,46.7,29.6,54.05,44.62
Aaron Gordon,2015-16,24.9,Role Player,High,17.98,13.5,13.99,54.05,52.3
Al Horford,2015-16,27.85,Role Player,High,1.36,35.97,25.3,54.05,52.85
Al Jefferson,2015-16,30.87,Role Player,High,13.1,24.58,32.8,54.05,61.26
Al-Farouq Aminu,2015-16,24.45,Role Player,High,8.71,23.85,14.36,54.05,48.94
Alec Burks,2015-16,48.45,Fragile Star,High,42.71,61.65,37.66,54.05,45.82
Alex Len,2015-16,22.31,Role Player,High,5.89,12.0,19.5,54.05,55.33
Allen Crabbe,2015-16,25.38,Role Player,High,8.42,10.0,38.86,54.05,44.72
Alonzo Gee,2015-16,19.28,Role Player,High,7.48,11.15,5.79,54.05,49.84
Amir Johnson,2015-16,23.22,Role Player,High,13.96,21.88,2.79,54.05,48.92
Andre Drummond,2015-16,30.74,Role Player,High,12.0,46.91,4.4,54.05,64.25
Andre Iguodala,2015-16,27.92,Role Player,High,11.69,30.55,18.83,54.05,49.02
Andre Roberson,2015-16,16.09,Role Player,High,2.6,10.0,0.4,54.05,46.23
Andrew Bogut,2015-16,20.47,Role Player,High,5.35,22.68,2.4,54.05,46.05
Andrew Nicholson,2015-16,33.58,Role Player,High,23.29,44.8,11.29,54.05,50.32
Andrew Wiggins,2015-16,50.96,Fragile Star,High,37.34,68.1,42.01,54.05,62.23
Anthony Davis,2015-16,38.3,Role Player,High,15.65,44.34,39.89,54.05,64.34
Arron Afflalo,2015-16,46.79,Fragile Star,High,27.13,63.17,47.03,54.05,53.49
Austin Rivers,2015-16,29.93,Role Player,High,29.59,12.0,25.37,54.05,48.75
Ben McLemore,2015-16,22.79,Role Player,High,5.68,19.47,16.16,54.05,48.79
Beno Udrih,2015-16,31.11,Role Player,High,25.53,10.0,42.17,54.05,44.07
Bismack Biyombo,2015-16,18.9,Role Player,High,6.38,10.0,7.4,54.05,49.0
Blake Griffin,2015-16,43.91,Fragile Star,High,23.38,53.88,46.37,54.05,60.4
Bojan Bogdanovic,2015-16,24.35,Role Player,High,12.89,14.67,18.41,54.05,50.25
Bradley Beal,2015-16,45.87,Fragile Star,High,40.07,47.52,44.67,54.05,49.3
Brandon Bass,2015-16,24.14,Role Player,High,5.2,27.35,11.8,54.05,52.75
