player_name,season,category,actual_usage,test_usage,predicted_archetype,star_level_potential,king_prob,bulldozer_prob,sniper_prob,victim_prob
Shai Gilgeous-Alexander,2018-19,True Positive (Latent Star),18.2,18.0,Sniper,0.03160783275961876,0.030566204339265823,0.0010416297009214759,0.5737767219543457,0.39461544156074524
Shai Gilgeous-Alexander,2018-19,True Positive (Latent Star),18.2,22.0,Sniper,0.1080511137843132,0.1013907864689827,0.0066603305749595165,0.0980817973613739,0.7938671112060547
Shai Gilgeous-Alexander,2018-19,True Positive (Latent Star),18.2,26.0,Victim,0.3701862096786499,0.10206399857997894,0.26812222599983215,0.00931401364505291,0.6204997301101685
Shai Gilgeous-Alexander,2018-19,True Positive (Latent Star),18.2,30.0,Bulldozer,0.9029330015182495,0.15734811127185822,0.7455849051475525,0.014009024947881699,0.08305791765451431
Victor Oladipo,2016-17,True Positive (Latent Star),21.0,21.0,Sniper,0.0077859144657850266,0.005844932980835438,0.0019409817177802324,0.06369218975305557,0.9285219311714172
Victor Oladipo,2016-17,True Positive (Latent Star),21.0,25.0,Victim,0.03270982205867767,0.01582636684179306,0.016883455216884613,0.003821232123300433,0.9634689092636108
Victor Oladipo,2016-17,True Positive (Latent Star),21.0,28.000000000000004,Victim,0.09232045710086823,0.01596023328602314,0.07636022567749023,0.0010465208906680346,0.9066329598426819
Victor Oladipo,2016-17,True Positive (Latent Star),21.0,30.0,Victim,0.4114200472831726,0.03616093844175339,0.3752591013908386,0.0025749437045305967,0.5860050320625305
Jalen Brunson,2020-21,True Positive (Latent Star),19.6,20.0,Sniper,0.0936766117811203,0.08989714831113815,0.0037794620729982853,0.068583182990551,0.8377402424812317
Jalen Brunson,2020-21,True Positive (Latent Star),19.6,25.0,Victim,0.18193669617176056,0.1288665384054184,0.05307015776634216,0.001928162993863225,0.8161351680755615
Jalen Brunson,2020-21,True Positive (Latent Star),19.6,28.000000000000004,Victim,0.5160914659500122,0.21244215965270996,0.30364930629730225,0.002850464079529047,0.4810580909252167
Jalen Brunson,2020-21,True Positive (Latent Star),19.6,30.0,Bulldozer,0.7805148959159851,0.2894778847694397,0.4910370111465454,0.003252200549468398,0.21623289585113525
Jalen Brunson,2020-21,True Positive (Latent Star),19.6,32.0,Bulldozer,0.940231442451477,0.3091193735599518,0.6311120390892029,0.003264825791120529,0.056503769010305405
Jordan Poole,2021-22,False Positive (Mirage Breakout),25.2,26.0,Bulldozer,0.6437138915061951,0.046612340956926346,0.5971015691757202,0.007286968175321817,0.34899911284446716
Jordan Poole,2021-22,False Positive (Mirage Breakout),25.2,28.000000000000004,Bulldozer,0.7284761071205139,0.03736399859189987,0.6911121010780334,0.006176823750138283,0.26534703373908997
Jordan Poole,2021-22,False Positive (Mirage Breakout),25.2,30.0,Bulldozer,0.8708581328392029,0.04301803559064865,0.8278400897979736,0.005866198800504208,0.12327563017606735
Jordan Poole,2021-22,False Positive (Mirage Breakout),25.2,32.0,Bulldozer,0.8974381685256958,0.037999529391527176,0.8594386577606201,0.005181844811886549,0.0973798930644989
Talen Horton-Tucker,2020-21,False Positive (Mirage Breakout),21.0,18.0,Sniper,0.029039006680250168,0.02818721905350685,0.0008517871028743684,0.850385844707489,0.1205751821398735
Talen Horton-Tucker,2020-21,False Positive (Mirage Breakout),21.0,22.0,Victim,0.11569230258464813,0.10299218446016312,0.01270011905580759,0.143672376871109,0.7406353950500488
Talen Horton-Tucker,2020-21,False Positive (Mirage Breakout),21.0,25.0,Victim,0.16787192225456238,0.0839381143450737,0.08393380790948868,0.005948501173406839,0.8261796236038208
Talen Horton-Tucker,2020-21,False Positive (Mirage Breakout),21.0,28.000000000000004,Victim,0.3997947871685028,0.10416409373283386,0.29563069343566895,0.005646897479891777,0.5945583581924438
Tyus Jones,2021-22,System Player (Ceiling Test),16.400000000000002,15.0,Sniper,0.0068388283252716064,0.005099098198115826,0.0017397303599864244,0.3661592900753021,0.6270018815994263
Tyus Jones,2021-22,System Player (Ceiling Test),16.400000000000002,20.0,Sniper,0.04284839704632759,0.04125280678272247,0.0015955900307744741,0.279254674911499,0.6778969168663025
Tyus Jones,2021-22,System Player (Ceiling Test),16.400000000000002,25.0,Victim,0.08088472485542297,0.052972275763750076,0.027912450954318047,0.014133590273559093,0.9049816727638245
Tyus Jones,2021-22,System Player (Ceiling Test),16.400000000000002,28.000000000000004,Victim,0.23349379003047943,0.044830601662397385,0.18866318464279175,0.003061281982809305,0.7634449005126953
Mikal Bridges,2021-22,Usage Shock Test,14.899999999999999,15.0,Sniper,0.0077702756971120834,0.0063718403689563274,0.001398435328155756,0.7802614569664001,0.2119682878255844
Mikal Bridges,2021-22,Usage Shock Test,14.899999999999999,20.0,Sniper,0.06258387863636017,0.053970906883478165,0.008612973615527153,0.18110044300556183,0.7563156485557556
Mikal Bridges,2021-22,Usage Shock Test,14.899999999999999,25.0,Victim,0.155489981174469,0.08824807405471802,0.06724191457033157,0.005048203282058239,0.8394617438316345
Mikal Bridges,2021-22,Usage Shock Test,14.899999999999999,28.000000000000004,Bulldozer,0.5710605978965759,0.06684499233961105,0.5042155981063843,0.0033717702608555555,0.4255676567554474
Mikal Bridges,2021-22,Usage Shock Test,14.899999999999999,30.0,Bulldozer,0.7603843808174133,0.09328075498342514,0.66710364818573,0.004350669682025909,0.23526495695114136
