player,season,cii_total,c1_final,c1_iso,c1_hub,c2_pressure,c3_difficulty,c4_defense,c5_force,classification
LeBron James,2015-16,68.81,62.47,62.47433946798196,0.0,90.0,47.7,68.27,77.9,Luxury Amplifier
Stephen Curry,2016-17,68.73,65.93,65.92514649155483,0.0,80.09,62.26,74.85,52.48,Luxury Amplifier
Giannis Antetokounmpo,2020-21,56.5,70.63,70.62897970150884,0.0,43.96,42.99,49.2,83.48,Luxury Amplifier
Kevin Durant,2018-19,71.62,70.32,70.31946962011922,0.0,76.33,72.41,66.71,69.5,Strong Creator
Nikola Jokić,2022-23,76.53,89.65,25.85287976301414,89.65,69.14,91.36,46.95,70.4,Strong Creator
Kawhi Leonard,2018-19,78.02,78.43,78.42935222672065,0.0,89.67,64.66,77.08,75.83,Strong Creator
Ben Simmons,2020-21,32.92,43.36,43.3622474455369,0.0,21.13,12.39,47.47,50.29,Role Player
James Harden,2018-19,85.62,99.0,99.0,0.0,89.55,72.4,77.57,74.13,Franchise Engine
Trae Young,2019-20,83.18,91.37,91.36538461538461,0.0,90.0,75.4,74.6,70.04,Franchise Engine
Zach LaVine,2021-22,67.36,76.03,76.0336110889307,0.0,59.82,63.69,75.2,55.78,Luxury Amplifier
