player,season,usage_level,current_usage,predicted_archetype,actual_archetype,king_probability,is_king_predicted,is_king_actual,is_false_positive,is_false_negative,is_true_positive,is_true_negative
Ja Morant,2022-23,0.15,0.338,Victim (Fragile Role),Bulldozer (Fragile Star),0.004524436313658953,False,False,False,False,False,True
Ja Morant,2022-23,0.2,0.338,Victim (Fragile Role),Bulldozer (Fragile Star),0.008434428833425045,False,False,False,False,False,True
Ja Morant,2022-23,0.25,0.338,Victim (Fragile Role),Bulldozer (Fragile Star),0.028854716569185257,False,False,False,False,False,True
Ja Morant,2022-23,0.3,0.338,Victim (Fragile Role),Bulldozer (Fragile Star),0.07461797446012497,False,False,False,False,False,True
Ja Morant,2022-23,0.35,0.338,Bulldozer (Fragile Star),Bulldozer (Fragile Star),0.05838324874639511,False,False,False,False,False,True
Russell Westbrook,2022-23,0.15,0.266,Victim (Fragile Role),King (Resilient Star),0.0021874243393540382,False,True,False,True,False,False
Russell Westbrook,2022-23,0.2,0.266,Victim (Fragile Role),King (Resilient Star),0.004107497166842222,False,True,False,True,False,False
Russell Westbrook,2022-23,0.25,0.266,Victim (Fragile Role),King (Resilient Star),0.014729209244251251,False,True,False,True,False,False
Russell Westbrook,2022-23,0.3,0.266,Victim (Fragile Role),King (Resilient Star),0.025987159460783005,False,True,False,True,False,False
Russell Westbrook,2022-23,0.35,0.266,Victim (Fragile Role),King (Resilient Star),0.035927921533584595,False,True,False,True,False,False
Pat Connaughton,2020-21,0.15,0.113,Victim (Fragile Role),Sniper (Resilient Role),0.001388446195051074,False,False,False,False,False,True
Pat Connaughton,2020-21,0.2,0.113,Victim (Fragile Role),Sniper (Resilient Role),0.0036939375568181276,False,False,False,False,False,True
Pat Connaughton,2020-21,0.25,0.113,Victim (Fragile Role),Sniper (Resilient Role),0.007211572490632534,False,False,False,False,False,True
Pat Connaughton,2020-21,0.3,0.113,Victim (Fragile Role),Sniper (Resilient Role),0.03328309953212738,False,False,False,False,False,True
Pat Connaughton,2020-21,0.35,0.113,Bulldozer (Fragile Star),Sniper (Resilient Role),0.04339780658483505,False,False,False,False,False,True
Draymond Green,2016-17,0.15,0.159,Sniper (Resilient Role),Sniper (Resilient Role),0.0019340133294463158,False,False,False,False,False,True
Draymond Green,2016-17,0.2,0.159,Victim (Fragile Role),Sniper (Resilient Role),0.005327541381120682,False,False,False,False,False,True
Draymond Green,2016-17,0.25,0.159,Victim (Fragile Role),Sniper (Resilient Role),0.013856920413672924,False,False,False,False,False,True
Draymond Green,2016-17,0.3,0.159,Victim (Fragile Role),Sniper (Resilient Role),0.026975395157933235,False,False,False,False,False,True
Draymond Green,2016-17,0.35,0.159,Victim (Fragile Role),Sniper (Resilient Role),0.03343651816248894,False,False,False,False,False,True
Anthony Davis,2017-18,0.15,0.291,Victim (Fragile Role),King (Resilient Star),0.0014776474563404918,False,True,False,True,False,False
Anthony Davis,2017-18,0.2,0.291,Victim (Fragile Role),King (Resilient Star),0.003759108716621995,False,True,False,True,False,False
Anthony Davis,2017-18,0.25,0.291,Victim (Fragile Role),King (Resilient Star),0.020355088636279106,False,True,False,True,False,False
Anthony Davis,2017-18,0.3,0.291,Victim (Fragile Role),King (Resilient Star),0.06711684167385101,False,True,False,True,False,False
Anthony Davis,2017-18,0.35,0.291,Victim (Fragile Role),King (Resilient Star),0.0985107496380806,False,True,False,True,False,False
Jeff Teague,2015-16,0.15,0.259,Victim (Fragile Role),King (Resilient Star),0.007273264694958925,False,True,False,True,False,False
