PLAYER_NAME,SEASON,HELIO_INDEX,USG_PCT,TS_PCT,LEAGUE_AVG_TS,CREATION_VOLUME_RATIO
James Harden,2018-19,3.9253164724576277,0.396,0.616,0.5494604519774011,0.9303977272727272
Stephen Curry,2015-16,3.276814206126155,0.314,0.669,0.5329707602339182,0.5928398058252426
Shai Gilgeous-Alexander,2023-24,3.141133942066278,0.317,0.636,0.5655153203342619,0.8968609865470852
Luka Dončić,2023-24,2.7793183599053757,0.355,0.617,0.5655153203342619,0.8557788944723618
Isaiah Thomas,2016-17,2.7621876429174894,0.332,0.625,0.5425134328358209,0.6792452830188679
Damian Lillard,2022-23,2.6710666666666674,0.331,0.645,0.5733333333333334,0.7226586102719034
Kevin Durant,2022-23,2.617067505720825,0.305,0.677,0.5733333333333334,0.5972540045766591
Giannis Antetokounmpo,2018-19,2.5498127340597265,0.314,0.644,0.5494604519774011,0.6035714285714285
Trae Young,2021-22,2.5354301104972383,0.333,0.603,0.559939226519337,0.9166666666666669
LeBron James,2017-18,2.5082117302284197,0.31,0.621,0.5486761363636364,0.7203282828282829
Zion Williamson,2022-23,2.372890959925443,0.288,0.652,0.5733333333333334,0.6943150046598322
Zach LaVine,2020-21,2.360856776539368,0.302,0.634,0.5624655172413793,0.7008959338387319
Chris Paul,2016-17,2.2142557241646923,0.239,0.614,0.5425134328358209,0.831012070566388
Kyrie Irving,2017-18,2.152700575422229,0.298,0.61,0.5486761363636364,0.7129443326626425
Kawhi Leonard,2018-19,2.0433336950066248,0.3,0.606,0.5494604519774011,0.7055256064690026
Kyle Lowry,2016-17,2.036157957628973,0.243,0.623,0.5425134328358209,0.6954510408635313
Devin Booker,2023-24,1.902009837142314,0.289,0.611,0.5655153203342619,0.7698863636363636
Mike Conley,2016-17,1.8787689666949106,0.256,0.604,0.5425134328358209,0.7231441048034934
Donovan Mitchell,2022-23,1.836759416767922,0.31,0.614,0.5733333333333334,0.7345078979343863
DeMar DeRozan,2019-20,1.8153630026101033,0.262,0.603,0.560453216374269,0.8393866020984665
Tyrese Haliburton,2022-23,1.765024273504273,0.2379999999999999,0.624,0.5733333333333334,0.817948717948718
Jalen Brunson,2023-24,1.7418583134970869,0.311,0.592,0.5655153203342619,0.8424242424242424
Jimmy Butler III,2022-23,1.737314777998675,0.248,0.647,0.5733333333333334,0.6163021868787276
Jayson Tatum,2023-24,1.6552011657752748,0.296,0.604,0.5655153203342619,0.7124824684431977
Russell Westbrook,2016-17,1.629340480818418,0.402,0.554,0.5425134328358209,0.7872122762148338
Lou Williams,2016-17,1.6155243063057312,0.277,0.593,0.5425134328358209,0.6445396145610278
Jalen Williams,2023-24,1.5378872713226277,0.232,0.621,0.5655153203342619,0.6942291128337639
Joel Embiid,2023-24,1.5355780197518363,0.387,0.644,0.5655153203342619,0.3348873348873349
De'Aaron Fox,2022-23,1.5301414088215926,0.288,0.599,0.5733333333333334,0.8090849242922975
CJ McCollum,2016-17,1.4955243881856546,0.268,0.585,0.5425134328358209,0.6765119549929677
Kemba Walker,2016-17,1.474940028375234,0.286,0.569,0.5425134328358209,0.7756653992395437
Bradley Beal,2020-21,1.4591821120689663,0.331,0.593,0.5624655172413793,0.625
Ja Morant,2021-22,1.4538107805396854,0.33,0.575,0.559939226519337,0.8001135718341852
Collin Sexton,2023-24,1.4518382195462967,0.267,0.607,0.5655153203342619,0.6673151750972762
Khris Middleton,2019-20,1.4362199407337475,0.26,0.619,0.560453216374269,0.5605381165919282
Blake Griffin,2018-19,1.3997776590801514,0.296,0.581,0.5494604519774011,0.6610299769408148
George Hill,2016-17,1.3651034159893607,0.229,0.599,0.5425134328358209,0.6178217821782178
Victor Oladipo,2017-18,1.364505929722985,0.295,0.577,0.5486761363636364,0.6769880365939479
Paul George,2020-21,1.3542685320197054,0.296,0.598,0.5624655172413793,0.6057142857142858
Jrue Holiday,2021-22,1.3385237569060773,0.231,0.593,0.559939226519337,0.793103448275862
Goran Dragic,2016-17,1.335501141434566,0.262,0.575,0.5425134328358209,0.7032106499608458
Spencer Dinwiddie,2018-19,1.2772098762192956,0.242,0.58,0.5494604519774011,0.7481940144478845
Eric Bledsoe,2015-16,1.2755849024952812,0.27,0.557,0.5329707602339182,0.7378486055776893
Jeff Teague,2016-17,1.2601997319902032,0.2189999999999999,0.574,0.5425134328358209,0.804953560371517
D.J. Augustin,2018-19,1.255361413214062,0.169,0.616,0.5494604519774011,0.6972222222222222
Jamal Murray,2023-24,1.2443166417274791,0.273,0.586,0.5655153203342619,0.7535687453042825
Malcolm Brogdon,2022-23,1.239432857665569,0.223,0.615,0.5733333333333334,0.6805708013172339
Bojan Bogdanovic,2022-23,1.2284881751358263,0.251,0.627,0.5733333333333334,0.5225311601150527
Anthony Edwards,2023-24,1.2208577397532816,0.314,0.575,0.5655153203342619,0.7857142857142857
T.J. McConnell,2023-24,1.2139749943317995,0.229,0.586,0.5655153203342619,0.876453488372093
Kris Dunn,2022-23,1.1654135166093926,0.195,0.606,0.5733333333333334,0.8224513172966781
Joe Ingles,2020-21,1.1595304983179149,0.162,0.672,0.5624655172413793,0.4786585365853658
Austin Reaves,2022-23,1.1513617283950621,0.154,0.687,0.5733333333333334,0.4865319865319865
Julius Randle,2018-19,1.1379377275895488,0.273,0.6,0.5494604519774011,0.4603811434302909
Darren Collison,2015-16,1.1322316755719946,0.19,0.591,0.5329707602339182,0.6078914919852034
Desmond Bane,2023-24,1.1312141188142364,0.273,0.589,0.5655153203342619,0.6526994359387591
Allonzo Trier,2019-20,1.1312076677316296,0.208,0.62,0.560453216374269,0.5463258785942492
Pascal Siakam,2018-19,1.1243154303116296,0.205,0.628,0.5494604519774011,0.4626696832579185
