PLAYER_NAME,SEASON,HELIO_LOAD_INDEX,OFFENSIVE_LOAD,EFFICIENCY_DELTA,USG_PCT,AST_PCT,OFF_RATING
Nikola Jokić,2024-25,7.189573902439027,0.5834999999999999,12.321463414634152,0.285,0.398,125.6
Stephen Curry,2015-16,6.868825000000006,0.55025,12.483098591549307,0.314,0.315,117.5
Russell Westbrook,2015-16,6.47641126760564,0.662,9.783098591549305,0.311,0.468,114.8
James Harden,2017-18,6.197113668224303,0.68975,8.984579439252343,0.353,0.449,116.2
Chris Paul,2016-17,5.503821596244126,0.5720000000000001,9.622065727699521,0.239,0.444,117.3
LeBron James,2016-17,5.259864319248824,0.583,9.022065727699527,0.292,0.388,116.7
Shai Gilgeous-Alexander,2024-25,5.1102998780487905,0.56025,9.121463414634164,0.336,0.299,122.4
Darius Garland,2024-25,4.9284869512195195,0.49675,9.921463414634161,0.265,0.309,123.2
Luka Dončić,2019-20,4.926274338624348,0.6955,7.083068783068796,0.355,0.454,116.7
Draymond Green,2015-16,4.694378873239442,0.39175000000000004,11.983098591549307,0.184,0.277,117.0
Tyrese Haliburton,2023-24,4.648600000000009,0.5720000000000001,8.126923076923092,0.239,0.444,122.4
Kyrie Irving,2016-17,4.542610093896712,0.5035000000000001,9.022065727699527,0.295,0.278,116.7
Kevin Durant,2016-17,4.484937558685443,0.4345,10.322065727699524,0.271,0.218,118.0
Kawhi Leonard,2020-21,4.472767039106149,0.46049999999999996,9.712849162011182,0.282,0.238,121.4
Damian Lillard,2020-21,4.403500558659216,0.5565,7.91284916201117,0.306,0.334,119.6
Trae Young,2021-22,4.222450240384617,0.6645000000000001,6.3543269230769255,0.333,0.442,117.2
Isaiah Thomas,2016-17,4.161923356807505,0.5607500000000001,7.422065727699518,0.332,0.305,115.1
Blake Griffin,2016-17,4.080229225352111,0.45225000000000004,9.022065727699527,0.276,0.235,116.7
Jalen Brunson,2023-24,3.7907586538461606,0.54725,6.926923076923089,0.311,0.315,121.2
Klay Thompson,2015-16,3.629914084507046,0.3305,10.983098591549307,0.26,0.094,116.0
Donovan Mitchell,2021-22,3.5274472355769197,0.52225,6.754326923076917,0.322,0.267,117.6
Jamal Murray,2024-25,3.50820865853659,0.40225,8.721463414634158,0.235,0.223,122.0
Jaylen Brown,2024-25,3.402336585365856,0.43499999999999994,7.821463414634152,0.282,0.204,121.1
John Wall,2016-17,3.3874948356807475,0.6365000000000001,5.322065727699524,0.299,0.45,113.0
Giannis Antetokounmpo,2024-25,3.3742834146341565,0.60025,5.621463414634164,0.346,0.339,118.9
Jayson Tatum,2023-24,3.373679807692313,0.45425,7.426923076923089,0.296,0.211,121.7
Jrue Holiday,2021-22,3.3370258413461547,0.45375,7.3543269230769255,0.231,0.297,118.2
DeMar DeRozan,2017-18,3.281006191588788,0.46975,6.984579439252343,0.286,0.245,114.2
Devin Booker,2020-21,3.242126256983239,0.46900000000000003,6.91284916201117,0.319,0.2,118.6
Paul George,2020-21,3.1427565642458095,0.47524999999999995,6.612849162011173,0.296,0.239,118.3
De'Aaron Fox,2022-23,2.9837541469194346,0.49875,5.982464454976309,0.288,0.281,119.9
Jimmy Butler III,2017-18,2.9788626168224326,0.398,7.484579439252343,0.245,0.204,114.7
Kyle Lowry,2018-19,2.9785760714285767,0.43775000000000003,6.804285714285726,0.191,0.329,116.2
Eric Gordon,2017-18,2.9643230140186945,0.32275,9.184579439252346,0.238,0.113,116.4
Domantas Sabonis,2022-23,2.9554588862559252,0.43574999999999997,6.7824644549763065,0.213,0.297,120.7
Joel Embiid,2020-21,2.86692625698324,0.469,6.112849162011173,0.352,0.156,117.8
Jusuf Nurkić,2018-19,2.7907728571428603,0.367,7.604285714285723,0.241,0.168,117.0
Payton Pritchard,2023-24,2.762723076923079,0.324,8.526923076923083,0.168,0.208,122.8
Derrick White,2023-24,2.7611221153846204,0.33975,8.126923076923092,0.183,0.209,122.4
Aaron Gordon,2022-23,2.7497161137440758,0.30274999999999996,9.082464454976304,0.206,0.129,123.0
Ja Morant,2021-22,2.5723737980769212,0.5775,4.45432692307692,0.33,0.33,115.3
Kevin Love,2016-17,2.524571713615021,0.32275,7.822065727699524,0.253,0.093,115.5
Eric Bledsoe,2018-19,2.4798000000000027,0.42000000000000004,5.90428571428572,0.225,0.26,115.3
Kemba Walker,2019-20,2.4677164021164084,0.44200000000000006,5.583068783068796,0.268,0.232,115.2
Karl-Anthony Towns,2017-18,2.4556910046728975,0.30375,8.084579439252337,0.225,0.105,115.3
Evan Mobley,2024-25,2.439049268292687,0.33775,7.221463414634158,0.226,0.149,120.5
Gary Harris,2016-17,2.3560728873239403,0.27975,8.422065727699518,0.183,0.129,116.1
Caris LeVert,2024-25,2.3433648780487846,0.3245,7.221463414634158,0.191,0.178,120.5
Jeff Teague,2017-18,2.3282039719626195,0.4245,5.484579439252343,0.201,0.298,112.7
Danilo Gallinari,2019-20,2.303270502645508,0.31625000000000003,7.283068783068799,0.242,0.099,116.9
Michael Porter Jr.,2022-23,2.2227109004739325,0.256,8.682464454976298,0.22,0.048,122.6
Josh Giddey,2023-24,2.1946923076923093,0.41200000000000003,5.32692307692308,0.223,0.252,119.6
Lou Williams,2017-18,2.1799675233644864,0.4755,4.584579439252337,0.285,0.254,111.8
Bradley Beal,2016-17,2.174541549295772,0.3735,5.822065727699524,0.258,0.154,113.5
JJ Redick,2016-17,2.164530516431922,0.26649999999999996,8.122065727699521,0.211,0.074,115.8
Christian Braun,2024-25,2.1386721951219547,0.227,9.421463414634161,0.155,0.096,122.7
Kristaps Porziņģis,2019-20,2.1329296296296314,0.329,6.483068783068788,0.263,0.088,116.1
Kevin Huerter,2022-23,2.122968720379147,0.29975,7.082464454976304,0.197,0.137,121.0
CJ McCollum,2018-19,2.087990357142862,0.34775,6.004285714285729,0.248,0.133,115.4
Khris Middleton,2020-21,2.081585614525142,0.41525,5.012849162011179,0.245,0.227,116.7
Aaron Wiggins,2024-25,2.0520346341463456,0.2765,7.421463414634161,0.2,0.102,120.7
Mike Conley,2020-21,2.0364231843575444,0.45125000000000004,4.512849162011179,0.224,0.303,116.2
Patrick Beverley,2016-17,1.9521342723004687,0.278,7.022065727699527,0.14,0.184,114.7
Will Barton,2020-21,1.9349787709497233,0.28825,6.712849162011182,0.187,0.135,118.4
Jarrett Allen,2024-25,1.9333631707317114,0.22425,8.621463414634164,0.156,0.091,121.9
Bogdan Bogdanović,2021-22,1.8759105769230746,0.32599999999999996,5.754326923076917,0.212,0.152,116.6
Tyrese Maxey,2023-24,1.875539423076926,0.46575,4.026923076923083,0.273,0.257,118.3
Serge Ibaka,2015-16,1.852690140845073,0.20174999999999998,9.18309859154931,0.174,0.037,114.2
Andre Iguodala,2015-16,1.8497059859154965,0.24075000000000002,7.68309859154931,0.117,0.165,112.7
Fred VanVleet,2017-18,1.800679322429909,0.36125,4.984579439252343,0.188,0.231,112.2
Clint Capela,2016-17,1.7946833333333332,0.2485,7.22206572769953,0.199,0.066,114.9
Myles Turner,2023-24,1.788937500000001,0.28275,6.32692307692308,0.234,0.065,120.6
Julius Randle,2022-23,1.7817298578199028,0.426,4.182464454976298,0.288,0.184,118.1
Max Strus,2024-25,1.7786965853658552,0.26075,6.821463414634152,0.143,0.157,120.1
Jordan Clarkson,2021-22,1.7766836538461548,0.366,4.8543269230769255,0.258,0.144,115.7
D'Angelo Russell,2021-22,1.7760028846153844,0.486,3.6543269230769226,0.246,0.32,114.5
Enes Freedom,2020-21,1.7688364525139677,0.22075,8.012849162011179,0.169,0.069,119.7
Monté Morris,2021-22,1.7658383413461527,0.32375,5.45432692307692,0.173,0.201,116.3
Matthew Dellavedova,2015-16,1.7627711267605675,0.35375,4.983098591549307,0.155,0.265,110.0
Tim Hardaway Jr.,2019-20,1.7617269841269871,0.276,6.3830687830687936,0.204,0.096,116.0
Anthony Davis,2018-19,1.7545821428571466,0.4275,4.104285714285723,0.288,0.186,113.5
Ryan Anderson,2016-17,1.74718896713615,0.2125,8.22206572769953,0.178,0.046,115.9
Deandre Ayton,2021-22,1.7172568509615391,0.27025,6.3543269230769255,0.217,0.071,117.2
JR Smith,2015-16,1.7131690140845104,0.2385,7.18309859154931,0.177,0.082,112.2
Joe Ingles,2020-21,1.7068751396648065,0.3405,5.012849162011179,0.162,0.238,116.7
Jameer Nelson,2016-17,1.685311971830984,0.34950000000000003,4.822065727699524,0.156,0.258,112.5
Pascal Siakam,2018-19,1.6793817857142874,0.31074999999999997,5.40428571428572,0.205,0.141,114.8
Reggie Jackson,2020-21,1.6730384078212308,0.33375,5.012849162011179,0.195,0.185,116.7
LaMelo Ball,2021-22,1.6615417067307692,0.52675,3.1543269230769226,0.271,0.341,114.0
