player_name,season,cii,tii,cii_archetype,tii_archetype,archetype_2d,career_leverage_mean,career_positive_seasons,career_negative_seasons,career_pattern,has_creation_tools,reasoning,cii_components,tii_components,confidence
Darius Garland,2024-25,62.84,78.31,Luxury Amplifier,High Scaling,Latent Engine,0.02149999999999995,5,1,Steps Up,True,"Positive career leverage (+0.021, 5+/1-), CII 62.8, TII 78.3: Can be #1","{'self_created': np.float64(70.69), 'pressure_appetite': np.float64(58.4), 'difficulty_embrace': np.float64(56.03), 'defensive_survival': np.float64(76.47), 'force_multiplication': np.float64(43.55)}","{'scaling_efficiency': np.float64(75.35846228343453), 'pressure_appetite': np.float64(72.39622641509433), 'creation_tools': np.float64(81.8), 'opportunity_response': np.float64(84.94571428571427), 'age_trajectory': np.float64(85.0)}",High
Cade Cunningham,2024-25,70.03,77.82,Strong Creator,High Scaling,Latent Engine,0.03899999999999997,3,1,Steps Up,True,"Positive career leverage (+0.039, 3+/1-), CII 70.0, TII 77.8: Can be #1","{'self_created': np.float64(74.57), 'pressure_appetite': np.float64(75.91), 'difficulty_embrace': np.float64(62.76), 'defensive_survival': np.float64(65.26), 'force_multiplication': np.float64(63.38)}","{'scaling_efficiency': np.float64(74.36333632321593), 'pressure_appetite': np.float64(72.21486068111453), 'creation_tools': np.float64(80.91666666666667), 'opportunity_response': np.float64(78.5), 'age_trajectory': np.float64(95.0)}",High
Austin Reaves,2024-25,51.94,76.78,Fragile Star,High Scaling,Latent Engine,0.007749999999999975,3,1,Mixed,True,"Mixed career leverage (+0.008), CII 51.9, TII 76.8 + Tools: High potential","{'self_created': np.float64(52.39), 'pressure_appetite': np.float64(58.21), 'difficulty_embrace': np.float64(40.93), 'defensive_survival': np.float64(61.72), 'force_multiplication': np.float64(42.26)}","{'scaling_efficiency': np.float64(76.80757615960982), 'pressure_appetite': np.float64(73.7478260869565), 'creation_tools': np.float64(73.91666666666666), 'opportunity_response': np.float64(89.0), 'age_trajectory': np.float64(71.66)}",High
Jamal Murray,2024-25,62.05,76.46,Luxury Amplifier,High Scaling,Latent Engine,0.022749999999999965,6,2,Steps Up,True,"Positive career leverage (+0.023, 6+/2-), CII 62.0, TII 76.5: Can be #1","{'self_created': np.float64(68.78), 'pressure_appetite': np.float64(50.03), 'difficulty_embrace': np.float64(66.06), 'defensive_survival': np.float64(78.3), 'force_multiplication': np.float64(39.53)}","{'scaling_efficiency': np.float64(73.19658756466451), 'pressure_appetite': np.float64(68.73191489361702), 'creation_tools': np.float64(92.95), 'opportunity_response': np.float64(81.5), 'age_trajectory': np.float64(64.99000000000001)}",High
Anfernee Simons,2024-25,66.38,75.67,Luxury Amplifier,High Scaling,Latent Engine,0.04774999999999997,4,0,Steps Up,True,"Positive career leverage (+0.048, 4+/0-), CII 66.4, TII 75.7: Can be #1","{'self_created': np.float64(62.98), 'pressure_appetite': np.float64(76.83), 'difficulty_embrace': np.float64(56.4), 'defensive_survival': np.float64(84.0), 'force_multiplication': np.float64(43.94)}","{'scaling_efficiency': np.float64(63.042461866014214), 'pressure_appetite': np.float64(89.6390041493776), 'creation_tools': np.float64(78.56666666666666), 'opportunity_response': np.float64(72.02857142857144), 'age_trajectory': np.float64(78.33)}",High
De'Aaron Fox,2024-25,67.97,75.12,Luxury Amplifier,High Scaling,Latent Engine,0.06749999999999999,8,0,Steps Up,True,"Positive career leverage (+0.067, 8+/0-), CII 68.0, TII 75.1: Can be #1","{'self_created': np.float64(65.23), 'pressure_appetite': np.float64(78.68), 'difficulty_embrace': np.float64(59.17), 'defensive_survival': np.float64(76.67), 'force_multiplication': np.float64(53.95)}","{'scaling_efficiency': np.float64(64.69242536824162), 'pressure_appetite': np.float64(86.07153284671533), 'creation_tools': np.float64(81.91666666666667), 'opportunity_response': np.float64(71.0), 'age_trajectory': np.float64(71.66)}",High
Ja Morant,2024-25,63.21,74.21,Luxury Amplifier,High Scaling,Latent Engine,0.06399999999999993,5,1,Steps Up,True,"Positive career leverage (+0.064, 5+/1-), CII 63.2, TII 74.2: Can be #1","{'self_created': np.float64(60.75), 'pressure_appetite': np.float64(79.0), 'difficulty_embrace': np.float64(42.9), 'defensive_survival': np.float64(68.14), 'force_multiplication': np.float64(64.36)}","{'scaling_efficiency': np.float64(69.38895742622154), 'pressure_appetite': np.float64(79.53333333333332), 'creation_tools': np.float64(69.15540963101938), 'opportunity_response': np.float64(74.55714285714285), 'age_trajectory': np.float64(85.0)}",High
Tyler Herro,2024-25,59.04,74.07,Luxury Amplifier,High Scaling,Latent Engine,0.013799999999999979,2,2,Steps Up,True,"Positive career leverage (+0.014, 2+/2-), CII 59.0, TII 74.1: Can be #1","{'self_created': np.float64(62.43), 'pressure_appetite': np.float64(68.63), 'difficulty_embrace': np.float64(54.79), 'defensive_survival': np.float64(51.35), 'force_multiplication': np.float64(44.89)}","{'scaling_efficiency': np.float64(69.06996370616353), 'pressure_appetite': np.float64(68.6782287822878), 'creation_tools': np.float64(73.9), 'opportunity_response': np.float64(86.0), 'age_trajectory': np.float64(85.0)}",High
Paolo Banchero,2024-25,68.07,73.68,Luxury Amplifier,High Scaling,Latent Engine,0.0213333333333333,2,1,Steps Up,True,"CII 68.1, TII 73.7: High potential (limited career data)","{'self_created': np.float64(67.41), 'pressure_appetite': np.float64(68.91), 'difficulty_embrace': np.float64(70.64), 'defensive_survival': np.float64(73.59), 'force_multiplication': np.float64(54.56)}","{'scaling_efficiency': np.float64(59.15050165862792), 'pressure_appetite': np.float64(72.10909090909088), 'creation_tools': np.float64(86.65), 'opportunity_response': np.float64(70.48571428571428), 'age_trajectory': np.int64(100)}",Medium
Desmond Bane,2024-25,51.26,73.56,Fragile Star,High Scaling,Latent Engine,0.0017499999999999486,2,2,Mixed,True,"Mixed career leverage (+0.002), CII 51.3, TII 73.6 + Tools: High potential","{'self_created': np.float64(56.26), 'pressure_appetite': np.float64(54.36), 'difficulty_embrace': np.float64(44.33), 'defensive_survival': np.float64(54.53), 'force_multiplication': np.float64(37.43)}","{'scaling_efficiency': np.float64(70.89827073710376), 'pressure_appetite': np.float64(62.822026431718044), 'creation_tools': np.float64(80.35), 'opportunity_response': np.float64(89.0), 'age_trajectory': np.float64(71.66)}",High
