PLAYER_ID,PLAYER_NAME,SEASON,AGE,Original_Usage,Original_Archetype,Original_King_Prob,Simulated_Usage,Simulated_Archetype,Simulated_King_Prob,Delta,Is_Latent_Star,Has_Archetype_Upgrade
202340,Avery Bradley,2015-16,25.0,0.197,Sniper (Resilient Role),0.0016442568,0.28,Victim (Fragile Role),0.05441821,Sniper (Resilient Role)→Victim (Fragile Role),False,False
1626251,Duje Dukan,2015-16,24.0,0.154,Sniper (Resilient Role),0.002886841,0.28,Victim (Fragile Role),0.07440733,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203490,Otto Porter Jr.,2015-16,23.0,0.159,Sniper (Resilient Role),0.0021052293,0.28,Victim (Fragile Role),0.15246499,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203109,Jae Crowder,2015-16,25.0,0.181,Sniper (Resilient Role),0.0015162897,0.28,Victim (Fragile Role),0.13176169,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203138,Hollis Thompson,2015-16,25.0,0.157,Sniper (Resilient Role),0.0014414547,0.28,Victim (Fragile Role),0.09092587,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203086,Meyers Leonard,2015-16,24.0,0.174,Sniper (Resilient Role),0.0014269144,0.28,Victim (Fragile Role),0.15727124,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203084,Harrison Barnes,2015-16,24.0,0.156,Victim (Fragile Role),0.0010058942,0.28,Victim (Fragile Role),0.09391528,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
202329,Al-Farouq Aminu,2015-16,25.0,0.166,Sniper (Resilient Role),0.0007135987,0.28,King (Resilient Star),0.37548715,Sniper (Resilient Role)→King (Resilient Star),True,True
203457,Nerlens Noel,2015-16,22.0,0.187,Sniper (Resilient Role),0.0015509397,0.28,Victim (Fragile Role),0.13509862,Sniper (Resilient Role)→Victim (Fragile Role),False,False
202699,Tobias Harris,2015-16,23.0,0.192,Victim (Fragile Role),0.0021269403,0.28,Bulldozer (Fragile Star),0.34164,Victim (Fragile Role)→Bulldozer (Fragile Star),True,True
203914,Gary Harris,2015-16,21.0,0.16,Sniper (Resilient Role),0.0012595478,0.28,Victim (Fragile Role),0.079548806,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203484,Kentavious Caldwell-Pope,2015-16,23.0,0.177,Sniper (Resilient Role),0.0010927243,0.28,King (Resilient Star),0.10270627,Sniper (Resilient Role)→King (Resilient Star),True,True
203082,Terrence Ross,2015-16,25.0,0.178,Sniper (Resilient Role),0.0006387947,0.28,King (Resilient Star),0.30300122,Sniper (Resilient Role)→King (Resilient Star),True,True
203926,Doug McDermott,2015-16,24.0,0.166,Sniper (Resilient Role),0.0018714871,0.28,Victim (Fragile Role),0.13762626,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203459,Allen Crabbe,2015-16,24.0,0.159,Sniper (Resilient Role),0.00081686396,0.28,Bulldozer (Fragile Star),0.4777007,Sniper (Resilient Role)→Bulldozer (Fragile Star),True,True
203497,Rudy Gobert,2015-16,24.0,0.143,Sniper (Resilient Role),0.001633636,0.28,Victim (Fragile Role),0.23756021,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203999,Nikola Jokić,2015-16,21.0,0.194,Sniper (Resilient Role),0.0022024654,0.28,Victim (Fragile Role),0.18133022,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203935,Marcus Smart,2015-16,22.0,0.168,Sniper (Resilient Role),0.0009426096,0.28,King (Resilient Star),0.24213356,Sniper (Resilient Role)→King (Resilient Star),True,True
203530,Joffrey Lauvergne,2015-16,24.0,0.196,Victim (Fragile Role),0.003406252,0.28,Victim (Fragile Role),0.07512811,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
203932,Aaron Gordon,2015-16,20.0,0.169,Sniper (Resilient Role),0.0013981977,0.28,Victim (Fragile Role),0.13144846,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203500,Steven Adams,2015-16,22.0,0.125,Sniper (Resilient Role),0.0016649638,0.28,Bulldozer (Fragile Star),0.6279777,Sniper (Resilient Role)→Bulldozer (Fragile Star),True,True
203477,Isaiah Canaan,2015-16,25.0,0.191,Sniper (Resilient Role),0.0017148822,0.28,Victim (Fragile Role),0.1375934,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203991,Clint Capela,2015-16,22.0,0.156,Victim (Fragile Role),0.0023430048,0.28,Victim (Fragile Role),0.10596069,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
203469,Cody Zeller,2015-16,23.0,0.152,Sniper (Resilient Role),0.002490058,0.28,Victim (Fragile Role),0.28582537,Sniper (Resilient Role)→Victim (Fragile Role),False,False
1626161,Willie Cauley-Stein,2015-16,22.0,0.131,Sniper (Resilient Role),0.0017007604,0.28,Victim (Fragile Role),0.11622798,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203933,T.J. Warren,2015-16,22.0,0.195,Victim (Fragile Role),0.0028204757,0.28,Victim (Fragile Role),0.11442362,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
203798,PJ Hairston,2015-16,23.0,0.161,Sniper (Resilient Role),0.004759746,0.28,Victim (Fragile Role),0.091632076,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203463,Ben McLemore,2015-16,23.0,0.172,Sniper (Resilient Role),0.0011556055,0.28,Victim (Fragile Role),0.10911269,Sniper (Resilient Role)→Victim (Fragile Role),False,False
1626163,Frank Kaminsky,2015-16,23.0,0.166,Victim (Fragile Role),0.0014513488,0.28,Victim (Fragile Role),0.3055344,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
203924,Jerami Grant,2015-16,22.0,0.179,Sniper (Resilient Role),0.0016062937,0.28,Victim (Fragile Role),0.08930727,Sniper (Resilient Role)→Victim (Fragile Role),False,False
202684,Tristan Thompson,2015-16,25.0,0.114,Sniper (Resilient Role),0.004672849,0.28,Bulldozer (Fragile Star),0.5857336,Sniper (Resilient Role)→Bulldozer (Fragile Star),True,True
203917,Nik Stauskas,2015-16,22.0,0.163,Sniper (Resilient Role),0.0010350405,0.28,Victim (Fragile Role),0.094245344,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203939,Dwight Powell,2015-16,24.0,0.175,Sniper (Resilient Role),0.0029782185,0.28,Victim (Fragile Role),0.07367116,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203093,Terrence Jones,2015-16,24.0,0.19,Victim (Fragile Role),0.001396788,0.28,Victim (Fragile Role),0.070957005,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
204038,Langston Galloway,2015-16,24.0,0.151,Sniper (Resilient Role),0.0012264702,0.28,Victim (Fragile Role),0.07927837,Sniper (Resilient Role)→Victim (Fragile Role),False,False
1626204,Larry Nance Jr.,2015-16,23.0,0.124,Sniper (Resilient Role),0.00113338,0.28,Victim (Fragile Role),0.089938946,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203090,Maurice Harkless,2015-16,23.0,0.153,Victim (Fragile Role),0.003903021,0.28,Victim (Fragile Role),0.36083677,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
1626158,Richaun Holmes,2015-16,22.0,0.171,Sniper (Resilient Role),0.0031855737,0.28,Victim (Fragile Role),0.11419309,Sniper (Resilient Role)→Victim (Fragile Role),False,False
1626159,Justise Winslow,2015-16,20.0,0.122,Sniper (Resilient Role),0.000716145,0.28,Bulldozer (Fragile Star),0.38132787,Sniper (Resilient Role)→Bulldozer (Fragile Star),True,True
1626168,Trey Lyles,2015-16,20.0,0.178,Victim (Fragile Role),0.0029431423,0.28,Victim (Fragile Role),0.06470334,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
203077,Michael Kidd-Gilchrist,2015-16,22.0,0.173,Victim (Fragile Role),0.0032481581,0.28,Victim (Fragile Role),0.1187316,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
203089,John Henson,2015-16,25.0,0.188,Victim (Fragile Role),0.003295807,0.28,Victim (Fragile Role),0.13264391,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
1626191,Chris McCullough,2015-16,21.0,0.158,Sniper (Resilient Role),0.0044613695,0.28,Victim (Fragile Role),0.1743559,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203516,James Ennis III,2015-16,25.0,0.196,Victim (Fragile Role),0.004059144,0.28,Victim (Fragile Role),0.11279237,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
204020,Tyler Johnson,2015-16,24.0,0.167,Sniper (Resilient Role),0.0027665503,0.28,Victim (Fragile Role),0.11805045,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203112,Quincy Acy,2015-16,25.0,0.128,Sniper (Resilient Role),0.0041887155,0.28,Victim (Fragile Role),0.15313439,Sniper (Resilient Role)→Victim (Fragile Role),False,False
1626169,Stanley Johnson,2015-16,20.0,0.191,Sniper (Resilient Role),0.0016608163,0.28,Victim (Fragile Role),0.087447114,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203460,Andre Roberson,2015-16,24.0,0.092,Sniper (Resilient Role),0.00063938793,0.28,Victim (Fragile Role),0.26014787,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203079,Dion Waiters,2015-16,24.0,0.173,Sniper (Resilient Role),0.0046966397,0.28,King (Resilient Star),0.15550676,Sniper (Resilient Role)→King (Resilient Star),True,True
203584,Troy Daniels,2015-16,24.0,0.195,Victim (Fragile Role),0.0038477632,0.28,Victim (Fragile Role),0.084141634,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
203501,Tim Hardaway Jr.,2015-16,24.0,0.159,Sniper (Resilient Role),0.0026704723,0.28,Victim (Fragile Role),0.080146335,Sniper (Resilient Role)→Victim (Fragile Role),False,False
1626209,Mario Hezonja,2015-16,21.0,0.166,Sniper (Resilient Role),0.0060958946,0.28,Victim (Fragile Role),0.12110099,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203503,Tony Snell,2015-16,24.0,0.134,Sniper (Resilient Role),0.0014036275,0.28,Victim (Fragile Role),0.10621167,Sniper (Resilient Role)→Victim (Fragile Role),False,False
202687,Bismack Biyombo,2015-16,23.0,0.114,Sniper (Resilient Role),0.0018692291,0.28,Bulldozer (Fragile Star),0.4380922,Sniper (Resilient Role)→Bulldozer (Fragile Star),True,True
1626148,Anthony Brown,2015-16,23.0,0.109,Sniper (Resilient Role),0.0022522479,0.28,Victim (Fragile Role),0.075348616,Sniper (Resilient Role)→Victim (Fragile Role),False,False
1626185,Jarell Martin,2015-16,22.0,0.179,Sniper (Resilient Role),0.0027927957,0.28,Victim (Fragile Role),0.07447245,Sniper (Resilient Role)→Victim (Fragile Role),False,False
201937,Ricky Rubio,2015-16,25.0,0.173,Sniper (Resilient Role),0.0014189387,0.28,Victim (Fragile Role),0.09981936,Sniper (Resilient Role)→Victim (Fragile Role),False,False
1626196,Josh Richardson,2015-16,22.0,0.134,Victim (Fragile Role),0.0010908375,0.28,Victim (Fragile Role),0.21265203,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
1626253,Axel Toupane,2015-16,23.0,0.122,Sniper (Resilient Role),0.0023264512,0.28,Victim (Fragile Role),0.11474079,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203521,Matthew Dellavedova,2015-16,25.0,0.155,Sniper (Resilient Role),0.0045007477,0.28,Victim (Fragile Role),0.3371499,Sniper (Resilient Role)→Victim (Fragile Role),False,False
1626178,Rondae Hollis-Jefferson,2015-16,21.0,0.131,Sniper (Resilient Role),0.0024259945,0.28,Victim (Fragile Role),0.102170944,Sniper (Resilient Role)→Victim (Fragile Role),False,False
203085,Austin Rivers,2015-16,23.0,0.188,Victim (Fragile Role),0.0014102,0.28,Victim (Fragile Role),0.22067682,Victim (Fragile Role)→Victim (Fragile Role) (No Change),False,False
203900,Markel Brown,2015-16,24.0,0.183,Sniper (Resilient Role),0.0026236281,0.28,Victim (Fragile Role),0.06896501,Sniper (Resilient Role)→Victim (Fragile Role),False,False
1626173,Rashad Vaughn,2015-16,19.0,0.13,Sniper (Resilient Role),0.002290203,0.28,Victim (Fragile Role),0.08038966,Sniper (Resilient Role)→Victim (Fragile Role),False,False
