PLAYER_ID,PLAYER_NAME,SEASON,RS_FGA,RS_RIM_FGA,RS_RIM_FGM,RS_RIM_APPETITE,RS_RIM_PCT,PO_FGA,PO_RIM_FGA,PO_RIM_FGM,PO_RIM_APPETITE,PO_RIM_PCT,RIM_PRESSURE_RESILIENCE
708,Kevin Garnett,2015-16,115,19,12,0.16521739130434782,0.631578947368421,,,,,,
977,Kobe Bryant,2015-16,1113,121,72,0.1087151841868823,0.5950413223140496,,,,,,
1495,Tim Duncan,2015-16,441,170,108,0.3854875283446712,0.6352941176470588,52.0,29.0,13.0,0.5576923076923077,0.4482758620689655,1.4467194570135746
1713,Vince Carter,2015-16,343,80,41,0.23323615160349853,0.5125,33.0,11.0,5.0,0.3333333333333333,0.45454545454545453,1.4291666666666667
1713,Vince Carter,2016-17,490,95,44,0.19387755102040816,0.4631578947368421,42.0,12.0,7.0,0.2857142857142857,0.5833333333333334,1.4736842105263157
1713,Vince Carter,2017-18,283,51,29,0.18021201413427562,0.5686274509803921,,,,,,
1713,Vince Carter,2018-19,468,78,46,0.16666666666666666,0.5897435897435898,,,,,,
1713,Vince Carter,2019-20,304,25,11,0.08223684210526316,0.44,,,,,,
1717,Dirk Nowitzki,2015-16,1112,90,64,0.08093525179856115,0.7111111111111111,83.0,13.0,10.0,0.1566265060240964,0.7692307692307693,1.93520749665328
1717,Dirk Nowitzki,2016-17,678,47,27,0.06932153392330384,0.574468085106383,,,,,,
1717,Dirk Nowitzki,2017-18,758,37,28,0.048812664907651716,0.7567567567567568,,,,,,
1717,Dirk Nowitzki,2018-19,376,5,3,0.013297872340425532,0.6,,,,,,
1718,Paul Pierce,2015-16,397,35,16,0.08816120906801007,0.45714285714285713,12.0,1.0,0.0,0.08333333333333333,0.0,0.9452380952380952
1889,Andre Miller,2015-16,106,50,31,0.4716981132075472,0.62,7.0,3.0,2.0,0.42857142857142855,0.6666666666666666,0.9085714285714285
1891,Jason Terry,2015-16,376,36,24,0.09574468085106383,0.6666666666666666,38.0,5.0,2.0,0.13157894736842105,0.4,1.3742690058479532
1891,Jason Terry,2016-17,243,32,16,0.13168724279835392,0.5,18.0,2.0,1.0,0.1111111111111111,0.5,0.8437499999999999
1891,Jason Terry,2017-18,154,14,8,0.09090909090909091,0.5714285714285714,5.0,0.0,0.0,0.0,0.0,0.0
1897,Metta World Peace,2015-16,177,51,16,0.288135593220339,0.3137254901960784,,,,,,
1938,Manu Ginobili,2015-16,435,133,72,0.3057471264367816,0.5413533834586466,47.0,7.0,6.0,0.14893617021276595,0.8571428571428571,0.48712206047032475
1938,Manu Ginobili,2016-17,439,100,49,0.22779043280182232,0.49,97.0,42.0,27.0,0.4329896907216495,0.6428571428571429,1.9008247422680413
1938,Manu Ginobili,2017-18,463,145,90,0.31317494600431967,0.6206896551724138,37.0,8.0,5.0,0.21621621621621623,0.625,0.6904007455731593
2037,Jamal Crawford,2015-16,939,124,72,0.13205537806176784,0.5806451612903226,103.0,11.0,7.0,0.10679611650485436,0.6363636363636364,0.8087222048230504
2037,Jamal Crawford,2016-17,870,111,59,0.12758620689655173,0.5315315315315315,83.0,12.0,9.0,0.14457831325301204,0.75,1.1331813741452295
2037,Jamal Crawford,2017-18,742,55,29,0.07412398921832884,0.5272727272727272,47.0,7.0,4.0,0.14893617021276595,0.5714285714285714,2.009284332688588
2037,Jamal Crawford,2018-19,438,22,11,0.0502283105022831,0.5,,,,,,
