player_name,season,cii,tii,cii_archetype,tii_archetype,archetype_2d,career_leverage_mean,career_positive_seasons,career_negative_seasons,career_pattern,has_creation_tools,reasoning,cii_components,tii_components,confidence
Aaron Brooks,2015-16,41.41,54.78,Fragile Star,Moderate Scaling,Role Player,0.002,1,0,Mixed,True,"Low CII 41.4, low TII 54.8","{'self_created': np.float64(35.01), 'pressure_appetite': np.float64(46.7), 'difficulty_embrace': np.float64(29.6), 'defensive_survival': np.float64(68.17), 'force_multiplication': np.float64(30.83)}","{'scaling_efficiency': np.float64(47.66666666666667), 'pressure_appetite': np.float64(66.93333333333334), 'creation_tools': np.float64(65.139972899729), 'opportunity_response': np.float64(44.8), 'age_trajectory': np.float64(40.01)}",Medium
Aaron Gordon,2015-16,19.34,36.12,Role Player,Limited Scaling,Role Player,-0.048,0,1,Hides,False,"Low CII 19.3, low TII 36.1","{'self_created': np.float64(17.98), 'pressure_appetite': np.float64(13.5), 'difficulty_embrace': np.float64(13.99), 'defensive_survival': np.float64(35.9), 'force_multiplication': np.float64(23.88)}","{'scaling_efficiency': np.float64(17.809314261090737), 'pressure_appetite': np.float64(20.8), 'creation_tools': np.float64(39.2806152884014), 'opportunity_response': np.float64(51.48571428571428), 'age_trajectory': np.int64(100)}",Medium
Al Horford,2015-16,23.83,45.65,Role Player,Limited Scaling,Role Player,-0.013,0,1,Mixed,True,"Low CII 23.8, low TII 45.6","{'self_created': np.float64(1.36), 'pressure_appetite': np.float64(35.97), 'difficulty_embrace': np.float64(25.3), 'defensive_survival': np.float64(46.44), 'force_multiplication': np.float64(24.08)}","{'scaling_efficiency': np.float64(20.471048195728653), 'pressure_appetite': np.float64(60.508250825082506), 'creation_tools': np.float64(41.85776784995573), 'opportunity_response': np.float64(74.5142857142857), 'age_trajectory': np.float64(48.34)}",Medium
Al Jefferson,2015-16,23.77,29.48,Role Player,Low Scaling,Role Player,-0.0569999999999999,0,1,Hides,True,"Low CII 23.8, low TII 29.5","{'self_created': np.float64(13.1), 'pressure_appetite': np.float64(24.58), 'difficulty_embrace': np.float64(32.8), 'defensive_survival': np.float64(24.64), 'force_multiplication': np.float64(34.36)}","{'scaling_efficiency': np.float64(16.411274096385544), 'pressure_appetite': np.float64(17.200000000000042), 'creation_tools': np.float64(43.036585365853654), 'opportunity_response': np.float64(50.971428571428575), 'age_trajectory': np.float64(40.01)}",Medium
Al-Farouq Aminu,2015-16,16.35,41.18,Role Player,Limited Scaling,Role Player,-0.023,0,1,Hides,False,"Low CII 16.4, low TII 41.2","{'self_created': np.float64(8.71), 'pressure_appetite': np.float64(23.85), 'difficulty_embrace': np.float64(14.36), 'defensive_survival': np.float64(22.12), 'force_multiplication': np.float64(15.88)}","{'scaling_efficiency': np.float64(15.583751858497823), 'pressure_appetite': np.float64(43.83935742971887), 'creation_tools': np.float64(43.64407385640122), 'opportunity_response': np.float64(55.42857142857143), 'age_trajectory': np.float64(85.0)}",Medium
Alec Burks,2015-16,50.1,64.5,Fragile Star,Moderate Scaling,Strong Creator,0.03,1,0,Steps Up,True,"CII 50.1, TII 64.5","{'self_created': np.float64(42.71), 'pressure_appetite': np.float64(61.65), 'difficulty_embrace': np.float64(37.66), 'defensive_survival': np.float64(69.97), 'force_multiplication': np.float64(38.47)}","{'scaling_efficiency': np.float64(38.6059286024959), 'pressure_appetite': np.float64(78.4390243902439), 'creation_tools': np.float64(81.76868927225857), 'opportunity_response': np.float64(53.028571428571425), 'age_trajectory': np.float64(90.0)}",Medium
Alex Len,2015-16,14.97,27.52,Role Player,Low Scaling,Role Player,-0.09,0,1,Hides,True,"Low CII 15.0, low TII 27.5","{'self_created': np.float64(5.42), 'pressure_appetite': np.float64(12.0), 'difficulty_embrace': np.float64(19.5), 'defensive_survival': np.float64(28.87), 'force_multiplication': np.float64(21.18)}","{'scaling_efficiency': np.float64(7.6165932511618495), 'pressure_appetite': np.float64(4.0000000000000036), 'creation_tools': np.float64(35.45776784995573), 'opportunity_response': np.float64(50.971428571428575), 'age_trajectory': np.float64(95.0)}",Medium
Allen Crabbe,2015-16,19.21,44.26,Role Player,Limited Scaling,Role Player,-0.083,0,1,Hides,True,"Low CII 19.2, low TII 44.3","{'self_created': np.float64(9.11), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(38.86), 'defensive_survival': np.float64(40.26), 'force_multiplication': np.float64(1.66)}","{'scaling_efficiency': np.float64(32.71963565387116), 'pressure_appetite': np.float64(6.800000000000002), 'creation_tools': np.float64(66.74608835710998), 'opportunity_response': np.float64(69.28571428571429), 'age_trajectory': np.float64(90.0)}",Medium
Alonzo Gee,2015-16,15.53,37.35,Role Player,Limited Scaling,Role Player,-0.0209999999999999,0,1,Hides,False,"Low CII 15.5, low TII 37.4","{'self_created': np.float64(7.73), 'pressure_appetite': np.float64(11.15), 'difficulty_embrace': np.float64(5.79), 'defensive_survival': np.float64(49.4), 'force_multiplication': np.float64(18.54)}","{'scaling_efficiency': np.float64(18.172595744680848), 'pressure_appetite': np.float64(53.60000000000004), 'creation_tools': np.float64(21.988023764853033), 'opportunity_response': np.float64(56.2), 'age_trajectory': np.float64(56.67)}",Medium
Amir Johnson,2015-16,17.4,39.06,Role Player,Limited Scaling,Role Player,-0.015,0,1,Mixed,False,"Low CII 17.4, low TII 39.1","{'self_created': np.float64(14.44), 'pressure_appetite': np.float64(21.88), 'difficulty_embrace': np.float64(2.79), 'defensive_survival': np.float64(40.52), 'force_multiplication': np.float64(9.61)}","{'scaling_efficiency': np.float64(17.97615577593624), 'pressure_appetite': np.float64(55.01470588235294), 'creation_tools': np.float64(14.223840267814442), 'opportunity_response': np.float64(75.99714285714286), 'age_trajectory': np.float64(56.67)}",Medium
Andre Drummond,2015-16,29.78,41.1,Role Player,Limited Scaling,Role Player,-0.003,0,1,Mixed,False,"Low CII 29.8, low TII 41.1","{'self_created': np.float64(12.0), 'pressure_appetite': np.float64(46.91), 'difficulty_embrace': np.float64(4.4), 'defensive_survival': np.float64(49.55), 'force_multiplication': np.float64(61.43)}","{'scaling_efficiency': np.float64(7.7835357947491834), 'pressure_appetite': np.float64(64.77405857740585), 'creation_tools': np.float64(18.462390720141514), 'opportunity_response': np.float64(59.2), 'age_trajectory': np.int64(100)}",Medium
Andre Iguodala,2015-16,25.91,49.65,Role Player,Limited Scaling,Role Player,0.0039999999999999,1,0,Mixed,True,"Low CII 25.9, low TII 49.6","{'self_created': np.float64(12.25), 'pressure_appetite': np.float64(30.55), 'difficulty_embrace': np.float64(18.83), 'defensive_survival': np.float64(61.48), 'force_multiplication': np.float64(16.07)}","{'scaling_efficiency': np.float64(27.731495204062426), 'pressure_appetite': np.float64(68.85128205128203), 'creation_tools': np.float64(58.2225800847752), 'opportunity_response': np.float64(59.8), 'age_trajectory': np.float64(35.0)}",Medium
Andre Roberson,2015-16,10.03,28.95,Role Player,Low Scaling,Role Player,-0.033,0,1,Hides,False,"Low CII 10.0, low TII 28.9","{'self_created': np.float64(2.71), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(0.4), 'defensive_survival': np.float64(41.48), 'force_multiplication': np.float64(4.17)}","{'scaling_efficiency': np.float64(10.158926517571878), 'pressure_appetite': np.float64(26.799999999999997), 'creation_tools': np.float64(8.974372569812655), 'opportunity_response': np.float64(56.028571428571425), 'age_trajectory': np.float64(90.0)}",Medium
