PLAYER_ID,PLAYER_NAME,RS_FGA,PO_FGA,DIET_DIFFICULTY_DELTA,TIGHT_EFFICIENCY_DELTA,OPEN_EFFICIENCY_DELTA,RS_TIGHT_FREQ,PO_TIGHT_FREQ
203999,Nikola Jokić,1378,244,-0.0973,0.0133,-0.0807,0.6792,0.582
203076,Anthony Davis,1250,93,-0.0368,0.0675,0.1016,0.6712,0.6344
1630532,Franz Wagner,1095,103,-0.0166,-0.0578,-0.0918,0.5991,0.5825
1631094,Paolo Banchero,1407,149,-0.0855,-0.0442,0.0413,0.5352,0.4497
203994,Jusuf Nurkić,614,26,0.0119,0.0817,-0.3031,0.7573,0.7692
1627783,Pascal Siakam,1271,290,-0.0535,-0.0151,0.0412,0.5846,0.531
1628386,Jarrett Allen,817,37,-0.0722,0.125,-0.1311,0.7479,0.6757
203932,Aaron Gordon,705,118,-0.0903,0.0197,0.0729,0.6326,0.5424
1630162,Anthony Edwards,1558,324,-0.0075,-0.0089,0.0486,0.4859,0.4784
1628983,Shai Gilgeous-Alexander,1487,224,-0.0833,-0.1615,0.0483,0.4761,0.3929
1627759,Jaylen Brown,1235,339,0.0154,0.02,0.0103,0.5628,0.5782
1627826,Ivica Zubac,508,70,-0.1381,-0.0766,-0.0767,0.8524,0.7143
1628973,Jalen Brunson,1641,340,0.0456,-0.0152,-0.0629,0.5161,0.5618
1628369,Jayson Tatum,1398,372,-0.023,-0.0855,0.0053,0.5687,0.5457
2544,LeBron James,1234,99,0.0584,-0.0311,0.0913,0.5073,0.5657
1630581,Josh Giddey,848,75,-0.1511,0.0561,-0.0577,0.5377,0.3867
203497,Rudy Gobert,612,104,-0.0153,-0.0494,-0.0504,0.7941,0.7788
1630178,Tyrese Maxey,1398,138,-0.0273,-0.0225,0.0723,0.4621,0.4348
203081,Damian Lillard,1275,81,-0.0185,-0.0154,0.0058,0.4753,0.4568
1628389,Bam Adebayo,998,97,-0.0936,-0.0249,-0.0188,0.5782,0.4845
1631096,Chet Holmgren,953,119,-0.0489,0.0342,-0.0752,0.4858,0.437
1629655,Daniel Gafford,472,123,0.0596,-0.0631,-0.1795,0.8347,0.8943
1626157,Karl-Anthony Towns,951,232,0.0136,-0.0635,-0.0079,0.5468,0.5603
1631170,Jaime Jaquez Jr.,691,52,-0.1086,-0.1036,-0.0482,0.5702,0.4615
202699,Tobias Harris,935,51,-0.1173,0.0068,-0.097,0.5487,0.4314
1626167,Myles Turner,906,205,-0.0704,-0.0102,0.0101,0.4801,0.4098
202685,Jonas Valančiūnas,710,42,0.2066,-0.0684,-0.0507,0.6268,0.8333
1631114,Jalen Williams,991,160,0.0427,-0.1083,-0.0336,0.4823,0.525
1626162,Kelly Oubre Jr.,868,64,-0.0374,0.0015,0.0921,0.553,0.5156
1629029,Luka Dončić,1627,504,0.0011,-0.0423,-0.038,0.4235,0.4246
203954,Joel Embiid,851,133,-0.0579,-0.0502,-0.1182,0.5241,0.4662
201142,Kevin Durant,1409,67,-0.1434,0.0583,-0.0115,0.6508,0.5075
202704,Reggie Jackson,735,48,-0.1284,-0.118,-0.0858,0.5034,0.375
1629021,Moritz Wagner,551,36,-0.0067,-0.1805,-0.1111,0.6733,0.6667
201566,Russell Westbrook,658,50,-0.0132,-0.227,-0.1507,0.5532,0.54
202331,Paul George,1210,95,0.1054,-0.0383,-0.0865,0.4736,0.5789
1627742,Brandon Ingram,1004,55,0.1496,-0.1595,-0.1071,0.5777,0.7273
202681,Kyrie Irving,1113,398,0.031,-0.0516,-0.0083,0.469,0.5
1630596,Evan Mobley,550,146,0.0735,-0.0185,-0.059,0.7073,0.7808
204001,Kristaps Porziņģis,752,60,-0.1012,0.0048,-0.0691,0.5346,0.4333
1630183,Jaden McDaniels,628,140,-0.0173,-0.0041,0.0545,0.4602,0.4429
1627747,Caris LeVert,820,102,-0.0162,0.1468,-0.0914,0.4476,0.4314
1628392,Isaiah Hartenstein,362,76,-0.1281,-0.0557,-0.0813,0.7597,0.6316
1626171,Bobby Portis,918,91,0.0139,-0.0693,0.0151,0.4586,0.4725
1628404,Josh Hart,680,150,0.0248,-0.0542,0.0544,0.4485,0.4733
1629675,Naz Reid,849,142,-0.0428,0.0299,-0.0582,0.4865,0.4437
1630173,Precious Achiuwa,467,43,0.1229,-0.0363,-0.0096,0.6445,0.7674
201950,Jrue Holiday,682,193,0.0663,0.0576,-0.0028,0.3534,0.4197
