PLAYER_NAME,SEASON,USG_PCT
Klay Thompson,2015-16,0.26
Anthony Davis,2015-16,0.29
Al Horford,2015-16,0.202
Dirk Nowitzki,2015-16,0.249
DeMarcus Cousins,2015-16,0.351
Serge Ibaka,2015-16,0.174
Nikola Vučević,2015-16,0.265
Pau Gasol,2015-16,0.244
Karl-Anthony Towns,2015-16,0.243
Kristaps Porziņģis,2015-16,0.243
LaMarcus Aldridge,2015-16,0.258
Marcin Gortat,2015-16,0.186
Derrick Favors,2015-16,0.234
Andre Drummond,2015-16,0.239
Robert Covington,2015-16,0.209
Avery Bradley,2015-16,0.197
Marvin Williams,2015-16,0.166
Mirza Teletovic,2015-16,0.229
Duje Dukan,2015-16,0.154
Ryan Anderson,2015-16,0.238
Myles Turner,2015-16,0.207
Hassan Whiteside,2015-16,0.201
Nikola Mirotic,2015-16,0.209
Stephen Curry,2015-16,0.314
Otto Porter Jr.,2015-16,0.159
Jae Crowder,2015-16,0.181
Jared Sullinger,2015-16,0.216
Matt Barnes,2015-16,0.175
Enes Freedom,2015-16,0.229
Trevor Ariza,2015-16,0.156
Jonas Valančiūnas,2015-16,0.204
Marco Belinelli,2015-16,0.193
JJ Redick,2015-16,0.22
Kenneth Faried,2015-16,0.203
Hollis Thompson,2015-16,0.157
Rudy Gay,2015-16,0.222
Luol Deng,2015-16,0.168
Nicolas Batum,2015-16,0.209
Ersan Ilyasova,2015-16,0.18
Greg Monroe,2015-16,0.231
Eric Gordon,2015-16,0.203
Draymond Green,2015-16,0.184
Danilo Gallinari,2015-16,0.226
Zach Randolph,2015-16,0.247
JR Smith,2015-16,0.177
Markieff Morris,2015-16,0.24
DeMarre Carroll,2015-16,0.176
Al Jefferson,2015-16,0.24
Meyers Leonard,2015-16,0.174
CJ Miles,2015-16,0.221
Harrison Barnes,2015-16,0.156
Thaddeus Young,2015-16,0.217
Darrell Arthur,2015-16,0.165
Alex Len,2015-16,0.202
Jason Smith,2015-16,0.218
Al-Farouq Aminu,2015-16,0.166
Kawhi Leonard,2015-16,0.252
Khris Middleton,2015-16,0.224
Kyle Korver,2015-16,0.132
Jabari Parker,2015-16,0.206
Nerlens Noel,2015-16,0.187
Tobias Harris,2015-16,0.192
Omri Casspi,2015-16,0.174
Gary Harris,2015-16,0.16
Robin Lopez,2015-16,0.174
Jimmy Butler III,2015-16,0.242
Wesley Johnson,2015-16,0.153
Evan Fournier,2015-16,0.2
Jahlil Okafor,2015-16,0.272
Chandler Parsons,2015-16,0.204
Kentavious Caldwell-Pope,2015-16,0.177
Carl Landry,2015-16,0.236
Jared Dudley,2015-16,0.127
Danny Green,2015-16,0.143
Gordon Hayward,2015-16,0.25
Bojan Bogdanovic,2015-16,0.19
Bradley Beal,2015-16,0.245
Luis Scola,2015-16,0.19
Kent Bazemore,2015-16,0.195
Terrence Ross,2015-16,0.178
Jordan Hill,2015-16,0.201
Marreese Speights,2015-16,0.293
Kelly Olynyk,2015-16,0.204
Doug McDermott,2015-16,0.166
Arron Afflalo,2015-16,0.178
Jusuf Nurkić,2015-16,0.266
Victor Oladipo,2015-16,0.224
Allen Crabbe,2015-16,0.159
Rudy Gobert,2015-16,0.143
Gorgui Dieng,2015-16,0.165
Zaza Pachulia,2015-16,0.163
Giannis Antetokounmpo,2015-16,0.221
Nikola Jokić,2015-16,0.194
Marcus Morris Sr.,2015-16,0.182
Andrew Wiggins,2015-16,0.267
Sean Kilpatrick,2015-16,0.227
Ian Mahinmi,2015-16,0.157
JaMychal Green,2015-16,0.188
Tim Duncan,2015-16,0.171
Marcus Smart,2015-16,0.168
Joffrey Lauvergne,2015-16,0.196
Jon Leuer,2015-16,0.195
James Harden,2015-16,0.319
Kyle Lowry,2015-16,0.256
Gerald Green,2015-16,0.192
O.J. Mayo,2015-16,0.165
CJ McCollum,2015-16,0.266
Taj Gibson,2015-16,0.144
Aaron Gordon,2015-16,0.169
Damian Lillard,2015-16,0.304
Devin Booker,2015-16,0.228
Steven Adams,2015-16,0.125
Patrick Patterson,2015-16,0.127
Isaiah Canaan,2015-16,0.191
Bobby Portis,2015-16,0.203
Rodney Hood,2015-16,0.215
Kris Humphries,2015-16,0.189
Marcus Thornton,2015-16,0.235
Jerryd Bayless,2015-16,0.164
Jeff Green,2015-16,0.204
Channing Frye,2015-16,0.153
Andrea Bargnani,2015-16,0.227
Henry Sims,2015-16,0.168
George Hill,2015-16,0.157
Anthony Tolliver,2015-16,0.122
Shabazz Muhammad,2015-16,0.222
Josh Smith,2015-16,0.221
Tyson Chandler,2015-16,0.126
Jordan Clarkson,2015-16,0.225
Nene,2015-16,0.218
Aron Baynes,2015-16,0.184
Clint Capela,2015-16,0.156
Cody Zeller,2015-16,0.152
Kosta Koufos,2015-16,0.152
Willie Cauley-Stein,2015-16,0.131
T.J. Warren,2015-16,0.195
Brandon Knight,2015-16,0.258
PJ Hairston,2015-16,0.161
Lavoy Allen,2015-16,0.128
Patrick Beverley,2015-16,0.153
P.J. Tucker,2015-16,0.125
Dahntay Jones,2015-16,0.156
D'Angelo Russell,2015-16,0.238
Ben McLemore,2015-16,0.172
Alexis Ajinca,2015-16,0.201
Will Barton,2015-16,0.226
Amir Johnson,2015-16,0.136
Mike Dunleavy,2015-16,0.141
Mike Scott,2015-16,0.171
David West,2015-16,0.175
Courtney Lee,2015-16,0.146
Dante Cunningham,2015-16,0.11
Timofey Mozgov,2015-16,0.16
Tyler Zeller,2015-16,0.225
Frank Kaminsky,2015-16,0.166
Jerami Grant,2015-16,0.179
Tristan Thompson,2015-16,0.114
Paul Pierce,2015-16,0.177
Jordan Hamilton,2015-16,0.203
Deron Williams,2015-16,0.218
Nik Stauskas,2015-16,0.163
Patty Mills,2015-16,0.189
Spencer Hawes,2015-16,0.168
Corey Brewer,2015-16,0.172
Festus Ezeli,2015-16,0.177
Garrett Temple,2015-16,0.14
Dwight Powell,2015-16,0.175
Isaiah Thomas,2015-16,0.289
Mason Plumlee,2015-16,0.171
Derrick Williams,2015-16,0.23
Terrence Jones,2015-16,0.19
Wayne Ellington,2015-16,0.172
Tony Allen,2015-16,0.167
Donatas Motiejunas,2015-16,0.214
David Lee,2015-16,0.21
Kemba Walker,2015-16,0.261
Jason Terry,2015-16,0.146
Roy Hibbert,2015-16,0.13
Jeremy Lamb,2015-16,0.214
Langston Galloway,2015-16,0.151
Larry Nance Jr.,2015-16,0.124
Julius Randle,2015-16,0.209
Charlie Villanueva,2015-16,0.236
Vince Carter,2015-16,0.177
Maurice Harkless,2015-16,0.153
Richaun Holmes,2015-16,0.171
Trey Burke,2015-16,0.242
Lance Thomas,2015-16,0.166
Justise Winslow,2015-16,0.122
Trey Lyles,2015-16,0.178
Michael Kidd-Gilchrist,2015-16,0.173
Eric Bledsoe,2015-16,0.27
John Henson,2015-16,0.188
Kevin Martin,2015-16,0.217
Brandan Wright,2015-16,0.152
Trevor Booker,2015-16,0.141
John Wall,2015-16,0.28
Zach LaVine,2015-16,0.228
Thabo Sefolosha,2015-16,0.121
Andrew Nicholson,2015-16,0.205
Monta Ellis,2015-16,0.208
Nick Young,2015-16,0.182
Darren Collison,2015-16,0.19
Elton Brand,2015-16,0.168
Goran Dragic,2015-16,0.211
Anthony Morrow,2015-16,0.167
Manu Ginobili,2015-16,0.227
Andre Iguodala,2015-16,0.117
Chris McCullough,2015-16,0.158
Andrew Bogut,2015-16,0.115
DeMar DeRozan,2015-16,0.291
James Ennis III,2015-16,0.196
Joakim Noah,2015-16,0.137
Emmanuel Mudiay,2015-16,0.25
Mike Conley,2015-16,0.225
Kyrie Irving,2015-16,0.285
Tyler Johnson,2015-16,0.167
Sasha Vujacic,2015-16,0.159
Quincy Acy,2015-16,0.128
Stanley Johnson,2015-16,0.191
JaVale McGee,2015-16,0.206
Andre Roberson,2015-16,0.092
Jamal Crawford,2015-16,0.239
Dion Waiters,2015-16,0.173
Lou Williams,2015-16,0.221
Troy Daniels,2015-16,0.195
Kyle O'Quinn,2015-16,0.206
Jodie Meeks,2015-16,0.232
Amar'e Stoudemire,2015-16,0.176
Tim Hardaway Jr.,2015-16,0.159
Cole Aldrich,2015-16,0.185
JJ Hickson,2015-16,0.22
Rajon Rondo,2015-16,0.186
Tiago Splitter,2015-16,0.15
Alan Anderson,2015-16,0.151
Gerald Henderson,2015-16,0.201
Ed Davis,2015-16,0.125
Jose Calderon,2015-16,0.124
Brandon Bass,2015-16,0.136
Mario Hezonja,2015-16,0.166
Michael Beasley,2015-16,0.284
Russell Westbrook,2015-16,0.311
Devin Harris,2015-16,0.168
Nemanja Bjelica,2015-16,0.123
Tony Snell,2015-16,0.134
Richard Jefferson,2015-16,0.133
Bismack Biyombo,2015-16,0.114
Michael Carter-Williams,2015-16,0.206
Anthony Brown,2015-16,0.109
Luke Babbitt,2015-16,0.168
Miles Plumlee,2015-16,0.151
Jeremy Lin,2015-16,0.217
Iman Shumpert,2015-16,0.13
Jarell Martin,2015-16,0.179
Ricky Rubio,2015-16,0.173
Willie Reed,2015-16,0.175
Jeff Withey,2015-16,0.149
Josh Richardson,2015-16,0.134
Axel Toupane,2015-16,0.122
Ronnie Price,2015-16,0.135
Tyreke Evans,2015-16,0.254
Jonas Jerebko,2015-16,0.133
Leandro Barbosa,2015-16,0.174
Gary Neal,2015-16,0.204
Metta World Peace,2015-16,0.162
Matthew Dellavedova,2015-16,0.155
Jarrett Jack,2015-16,0.209
Randy Foye,2015-16,0.157
Rondae Hollis-Jefferson,2015-16,0.131
Austin Rivers,2015-16,0.188
Markel Brown,2015-16,0.183
Kyle Singler,2015-16,0.113
Drew Gooden,2015-16,0.169
Rashad Vaughn,2015-16,0.13
Boban Marjanovic,2015-16,0.22
Greivis Vasquez,2015-16,0.184
Noah Vonleh,2015-16,0.13
Elfrid Payton,2015-16,0.198
Christian Wood,2015-16,0.185
Brandon Rush,2015-16,0.125
Ryan Kelly,2015-16,0.173
Bryce Dejean-Jones,2015-16,0.14
Omer Asik,2015-16,0.114
Dewayne Dedmon,2015-16,0.151
Chase Budinger,2015-16,0.138
Jordan Farmar,2015-16,0.178
Thomas Robinson,2015-16,0.186
Johnny O'Bryant III,2015-16,0.135
Caron Butler,2015-16,0.159
Dennis Schröder,2015-16,0.286
Seth Curry,2015-16,0.172
Joe Ingles,2015-16,0.128
James Jones,2015-16,0.156
Norris Cole,2015-16,0.212
Kevin Garnett,2015-16,0.114
Jameer Nelson,2015-16,0.163
Justin Holiday,2015-16,0.16
Raymond Felton,2015-16,0.179
Chris Andersen,2015-16,0.108
E'Twaun Moore,2015-16,0.157
Mario Chalmers,2015-16,0.214
Orlando Johnson,2015-16,0.167
Alex Stepheson,2015-16,0.166
Mike Muscala,2015-16,0.152
Reggie Jackson,2015-16,0.283
Kevin Seraphin,2015-16,0.219
Robert Sacre,2015-16,0.139
Archie Goodwin,2015-16,0.227
Alec Burks,2015-16,0.246
Josh McRoberts,2015-16,0.148
Rodney Stuckey,2015-16,0.202
Boris Diaw,2015-16,0.164
Cristiano Felicio,2015-16,0.135
Josh Huestis,2015-16,0.135
Reggie Bullock Jr.,2015-16,0.113
Mo Williams,2015-16,0.222
Evan Turner,2015-16,0.184
Norman Powell,2015-16,0.174
Salah Mejri,2015-16,0.138
J.J. Barea,2015-16,0.229
Solomon Hill,2015-16,0.128
Tayshaun Prince,2015-16,0.081
Ramon Sessions,2015-16,0.214
Chris Kaman,2015-16,0.202
Steve Blake,2015-16,0.143
Jeff Teague,2015-16,0.259
Toney Douglas,2015-16,0.189
Donald Sloan,2015-16,0.163
Raul Neto,2015-16,0.172
Cory Jefferson,2015-16,0.203
JaKarr Sampson,2015-16,0.165
James Anderson,2015-16,0.134
RJ Hunter,2015-16,0.15
Luc Mbah a Moute,2015-16,0.095
Justin Harper,2015-16,0.167
Justin Anderson,2015-16,0.152
DeJuan Blair,2015-16,0.166
Xavier Munford,2015-16,0.168
Alonzo Gee,2015-16,0.091
Brandon Jennings,2015-16,0.192
Tibor Pleiss,2015-16,0.186
Anderson Varejao,2015-16,0.143
Edy Tavares,2015-16,0.167
Damjan Rudez,2015-16,0.123
Jarell Eddie,2015-16,0.191
Tarik Black,2015-16,0.13
Tony Parker,2015-16,0.211
Glenn Robinson III,2015-16,0.157
James Johnson,2015-16,0.157
Ryan Hollins,2015-16,0.116
Kelly Oubre Jr.,2015-16,0.166
Kendall Marshall,2015-16,0.179
Alan Williams,2015-16,0.194
Chris Copeland,2015-16,0.169
Lamar Patterson,2015-16,0.123
Cleanthony Early,2015-16,0.147
Jonathon Simmons,2015-16,0.183
Jrue Holiday,2015-16,0.283
Tony Wroten,2015-16,0.32
Steve Novak,2015-16,0.162
Chris Johnson,2015-16,0.131
Nikola Pekovic,2015-16,0.204
Darrun Hilliard,2015-16,0.19
Adreian Payne,2015-16,0.175
C.J. Watson,2015-16,0.117
John Jenkins,2015-16,0.167
Cameron Payne,2015-16,0.199
Devyn Marble,2015-16,0.153
Jeremy Evans,2015-16,0.109
Lance Stephenson,2015-16,0.194
C.J. Wilcox,2015-16,0.19
Shelvin Mack,2015-16,0.229
Jason Thompson,2015-16,0.137
Ray McCallum,2015-16,0.164
Matt Bonner,2015-16,0.14
Montrezl Harrell,2015-16,0.141
Ish Smith,2015-16,0.235
Cory Joseph,2015-16,0.166
Ty Lawson,2015-16,0.145
Sonny Weems,2015-16,0.129
Lucas Nogueira,2015-16,0.12
James Michael McAdoo,2015-16,0.194
Rasual Butler,2015-16,0.123
Nick Collison,2015-16,0.105
D.J. Augustin,2015-16,0.18
Aaron Brooks,2015-16,0.225
Kostas Papanikolaou,2015-16,0.141
Shaun Livingston,2015-16,0.14
Greg Smith,2015-16,0.104
Cameron Bairstow,2015-16,0.196
Shane Larkin,2015-16,0.172
Udonis Haslem,2015-16,0.131
Sergey Karasev,2015-16,0.117
Jared Cunningham,2015-16,0.166
Jerian Grant,2015-16,0.185
Ian Clark,2015-16,0.193
Shabazz Napier,2015-16,0.196
Beno Udrih,2015-16,0.167
Jeff Ayres,2015-16,0.134
Bruno Caboclo,2015-16,0.152
Lou Amundson,2015-16,0.166
Joe Young,2015-16,0.233
KJ McDaniels,2015-16,0.179
Marcelo Huertas,2015-16,0.161
Jordan Mickey,2015-16,0.193
Kyle Anderson,2015-16,0.143
T.J. McConnell,2015-16,0.167
Anthony Bennett,2015-16,0.166
Kendrick Perkins,2015-16,0.103
Tyus Jones,2015-16,0.151
Tyler Ennis,2015-16,0.168
Kevon Looney,2015-16,0.14
Cliff Alexander,2015-16,0.134
Thanasis Antetokounmpo,2015-16,0.286
Chuck Hayes,2015-16,0.113
Shayne Whittington,2015-16,0.172
Mike Miller,2015-16,0.089
Tyler Hansbrough,2015-16,0.144
James Young,2015-16,0.092
Kirk Hinrich,2015-16,0.113
Pablo Prigioni,2015-16,0.108
Mitch McGary,2015-16,0.192
Damien Inglis,2015-16,0.149
Brian Roberts,2015-16,0.188
Nazr Mohammed,2015-16,0.2
Elijah Millsap,2015-16,0.141
Elliot Williams,2015-16,0.138
Jordan McRae,2015-16,0.244
Luis Montero,2015-16,0.255
Tim Frazier,2015-16,0.192
Eric Moreland,2015-16,0.096
Aaron Harrison,2015-16,0.132
Coty Clarke,2015-16,0.357
Pat Connaughton,2015-16,0.178
Andre Miller,2015-16,0.156
Terry Rozier,2015-16,0.168
Joe Harris,2015-16,0.128
Keith Appling,2015-16,0.2
Briante Weber,2015-16,0.117
Erick Green,2015-16,0.138
Delon Wright,2015-16,0.218
Jimmer Fredette,2015-16,0.225
Andrew Goudelock,2015-16,0.234
Jordan Adams,2015-16,0.286
Joel Anthony,2015-16,0.071
Jarnell Stokes,2015-16,0.133
Sasha Kaun,2015-16,0.119
Bryce Cotton,2015-16,0.17
Phil Pressey,2015-16,0.174
Spencer Dinwiddie,2015-16,0.207
Lorenzo Brown,2015-16,0.248
Russ Smith,2015-16,0.219
Jorge Gutierrez,2015-16,0.148
Branden Dawson,2015-16,0.078
Klay Thompson,2016-17,0.258
Karl-Anthony Towns,2016-17,0.271
Kevin Love,2016-17,0.253
Kristaps Porziņģis,2016-17,0.24
Serge Ibaka,2016-17,0.208
Marc Gasol,2016-17,0.262
Myles Turner,2016-17,0.195
Brook Lopez,2016-17,0.286
Nikola Vučević,2016-17,0.241
DeMarcus Cousins,2016-17,0.359
LaMarcus Aldridge,2016-17,0.248
Ryan Anderson,2016-17,0.178
Robert Covington,2016-17,0.188
Joel Embiid,2016-17,0.356
Nikola Jokić,2016-17,0.231
Ersan Ilyasova,2016-17,0.216
Blake Griffin,2016-17,0.276
Eric Gordon,2016-17,0.217
Paul George,2016-17,0.287
Jabari Parker,2016-17,0.257
Zach Randolph,2016-17,0.28
Avery Bradley,2016-17,0.215
Otto Porter Jr.,2016-17,0.147
Clint Capela,2016-17,0.199
Robin Lopez,2016-17,0.172
Trevor Ariza,2016-17,0.14
Marvin Williams,2016-17,0.16
Jae Crowder,2016-17,0.169
Frank Kaminsky,2016-17,0.216
Pau Gasol,2016-17,0.213
Marcin Gortat,2016-17,0.146
Stephen Curry,2016-17,0.286
Rudy Gobert,2016-17,0.166
Victor Oladipo,2016-17,0.21
Markieff Morris,2016-17,0.203
Nikola Mirotic,2016-17,0.194
Paul Millsap,2016-17,0.241
Danilo Gallinari,2016-17,0.198
Enes Freedom,2016-17,0.271
Derrick Favors,2016-17,0.204
Dario Šarić,2016-17,0.24
Gordon Hayward,2016-17,0.269
Gorgui Dieng,2016-17,0.14
Jonas Valančiūnas,2016-17,0.193
JJ Redick,2016-17,0.211
DeAndre Jordan,2016-17,0.152
Wayne Ellington,2016-17,0.174
Jon Leuer,2016-17,0.169
Marquese Chriss,2016-17,0.194
Gary Harris,2016-17,0.183
Thaddeus Young,2016-17,0.163
CJ Miles,2016-17,0.179
JR Smith,2016-17,0.143
Rudy Gay,2016-17,0.246
Channing Frye,2016-17,0.193
Devin Booker,2016-17,0.28
Wilson Chandler,2016-17,0.217
Draymond Green,2016-17,0.159
Kawhi Leonard,2016-17,0.306
Kyle Korver,2016-17,0.147
Steven Adams,2016-17,0.159
Nicolas Batum,2016-17,0.215
Richaun Holmes,2016-17,0.184
Marreese Speights,2016-17,0.234
Alex Poythress,2016-17,0.162
Tobias Harris,2016-17,0.214
Nick Young,2016-17,0.192
Wesley Matthews,2016-17,0.193
Evan Fournier,2016-17,0.229
Marcus Morris Sr.,2016-17,0.201
Tim Hardaway Jr.,2016-17,0.218
Taj Gibson,2016-17,0.188
DeMarre Carroll,2016-17,0.154
Allen Crabbe,2016-17,0.146
Tony Snell,2016-17,0.121
Aaron Gordon,2016-17,0.197
Justin Hamilton,2016-17,0.158
Tyler Johnson,2016-17,0.203
Zach LaVine,2016-17,0.215
Bojan Bogdanovic,2016-17,0.219
Giannis Antetokounmpo,2016-17,0.28
T.J. Warren,2016-17,0.188
Kentavious Caldwell-Pope,2016-17,0.187
Maurice Harkless,2016-17,0.149
Terrence Ross,2016-17,0.185
JaMychal Green,2016-17,0.144
Cody Zeller,2016-17,0.153
Jusuf Nurkić,2016-17,0.232
Ivica Zubac,2016-17,0.201
Andrew Wiggins,2016-17,0.286
Joe Harris,2016-17,0.159
Troy Daniels,2016-17,0.203
Josh Richardson,2016-17,0.165
Mason Plumlee,2016-17,0.18
Marcus Smart,2016-17,0.183
Patrick Patterson,2016-17,0.123
Isaiah Thomas,2016-17,0.332
Dante Cunningham,2016-17,0.107
Andre Roberson,2016-17,0.099
Anthony Tolliver,2016-17,0.133
Matt Barnes,2016-17,0.155
Larry Nance Jr.,2016-17,0.133
Willy Hernangomez,2016-17,0.199
Al-Farouq Aminu,2016-17,0.155
Marco Belinelli,2016-17,0.187
CJ McCollum,2016-17,0.268
Kelly Olynyk,2016-17,0.185
Doug McDermott,2016-17,0.162
Mirza Teletovic,2016-17,0.188
Nerlens Noel,2016-17,0.171
Kenneth Faried,2016-17,0.179
Greg Monroe,2016-17,0.238
Nene,2016-17,0.191
Timofey Mozgov,2016-17,0.168
Danny Green,2016-17,0.135
Tony Allen,2016-17,0.178
Alex Len,2016-17,0.174
Jimmy Butler III,2016-17,0.261
Jared Dudley,2016-17,0.136
Meyers Leonard,2016-17,0.154
Khris Middleton,2016-17,0.227
Courtney Lee,2016-17,0.144
Langston Galloway,2016-17,0.18
Justin Holiday,2016-17,0.166
Kent Bazemore,2016-17,0.202
D'Angelo Russell,2016-17,0.264
Kosta Koufos,2016-17,0.151
Rodney Hood,2016-17,0.227
Mike Muscala,2016-17,0.145
Tyson Chandler,2016-17,0.112
Darrell Arthur,2016-17,0.176
Vince Carter,2016-17,0.147
Sean Kilpatrick,2016-17,0.232
Russell Westbrook,2016-17,0.402
Tristan Thompson,2016-17,0.112
Montrezl Harrell,2016-17,0.17
Shawn Long,2016-17,0.241
Terrence Jones,2016-17,0.209
Alan Williams,2016-17,0.203
Willie Cauley-Stein,2016-17,0.195
Shabazz Muhammad,2016-17,0.209
Josh Huestis,2016-17,0.139
Spencer Hawes,2016-17,0.193
Justin Harper,2016-17,0.208
Jordan Farmar,2016-17,0.183
Dahntay Jones,2016-17,0.417
Kyle O'Quinn,2016-17,0.182
Dwight Powell,2016-17,0.162
Luol Deng,2016-17,0.141
John Henson,2016-17,0.163
Jordan Crawford,2016-17,0.254
Kyle Lowry,2016-17,0.243
Jason Smith,2016-17,0.166
James Johnson,2016-17,0.215
Dion Waiters,2016-17,0.26
Justise Winslow,2016-17,0.198
Kyrie Irving,2016-17,0.295
Rodney McGruder,2016-17,0.123
Patrick Beverley,2016-17,0.14
George Hill,2016-17,0.229
P.J. Tucker,2016-17,0.111
Domantas Sabonis,2016-17,0.156
Ben McLemore,2016-17,0.197
Jodie Meeks,2016-17,0.192
Thabo Sefolosha,2016-17,0.131
Goran Dragic,2016-17,0.262
Sam Dekker,2016-17,0.148
Garrett Temple,2016-17,0.139
Al Jefferson,2016-17,0.254
Alex Abrines,2016-17,0.153
Bobby Portis,2016-17,0.19
Solomon Hill,2016-17,0.114
Julius Randle,2016-17,0.212
Jordan Clarkson,2016-17,0.228
Jeff Green,2016-17,0.2
Buddy Hield,2016-17,0.209
Patty Mills,2016-17,0.184
Skal Labissiere,2016-17,0.209
Andre Iguodala,2016-17,0.111
Kemba Walker,2016-17,0.286
Justin Anderson,2016-17,0.202
Trevor Booker,2016-17,0.185
Nik Stauskas,2016-17,0.161
Trey Lyles,2016-17,0.209
Alexis Ajinca,2016-17,0.166
Gerald Henderson,2016-17,0.175
Will Barton,2016-17,0.207
Nemanja Bjelica,2016-17,0.159
Bismack Biyombo,2016-17,0.134
Mindaugas Kuzminskas,2016-17,0.186
Amir Johnson,2016-17,0.136
Emmanuel Mudiay,2016-17,0.222
Arron Afflalo,2016-17,0.143
Joakim Noah,2016-17,0.124
Jared Sullinger,2016-17,0.199
