player,season,star_potential,king_probability,bulldozer_probability,sniper_probability,victim_probability,predicted_archetype,actual_archetype,AGE,current_usage,is_star_predicted,is_star_actual,rank
Brandin Podziemski,2023-24,0.7419432513415813,0.0564801804721355,0.6854630708694458,0.0083790840581059,0.2496776580810547,Bulldozer (Fragile Star),,21.0,0.149,True,,1
Mario Hezonja,2017-18,0.7253459393978119,0.1476586759090423,0.5776872634887695,0.0078070415183901,0.266847014427185,Bulldozer (Fragile Star),,23.0,0.197,True,,2
Bub Carrington,2024-25,0.7226117327809334,0.1050755456089973,0.617536187171936,0.0119977267459034,0.265390545129776,Bulldozer (Fragile Star),,19.0,0.154,True,,3
Austin Reaves,2021-22,0.7142777368426323,0.0807496830821037,0.6335280537605286,0.0066581866703927,0.2790640294551849,Bulldozer (Fragile Star),,24.0,0.121,True,,4
Tyler Herro,2023-24,0.7064008861780167,0.1171797662973404,0.5892211198806763,0.0107188122346997,0.2828803360462188,Bulldozer (Fragile Star),,24.0,0.268,True,,5
Mario Hezonja,2015-16,0.6983580365777015,0.0675446763634681,0.6308133602142334,0.0106650497764348,0.2909769117832184,Bulldozer (Fragile Star),,21.0,0.166,True,,6
AJ Griffin,2022-23,0.6962294802069664,0.091794453561306,0.6044350266456604,0.0200292691588401,0.2837412357330322,Bulldozer (Fragile Star),,19.0,0.174,True,,7
Jamal Murray,2016-17,0.6911968737840651,0.2167484909296035,0.4744483828544616,0.0076026497408747,0.3012004792690277,Bulldozer (Fragile Star),,20.0,0.212,True,,8
Noah Vonleh,2018-19,0.6880661379545927,0.0278443824499845,0.6602217555046082,0.0064783757552504,0.3054555058479309,Bulldozer (Fragile Star),,23.0,0.144,True,,9
Vince Williams Jr.,2023-24,0.6873803623020649,0.0367603190243244,0.6506200432777405,0.0098193380981683,0.3028003275394439,Bulldozer (Fragile Star),,23.0,0.155,True,,10
Talen Horton-Tucker,2020-21,0.6872363090515137,0.0639362335205078,0.6233000755310059,0.0070977332070469,0.3056659698486328,Bulldozer (Fragile Star),,20.0,0.21,True,,11
Ayo Dosunmu,2021-22,0.6780258230865001,0.0488400869071483,0.6291857361793518,0.008798467926681,0.3131757378578186,Bulldozer (Fragile Star),,22.0,0.138,True,,12
Jalen Brunson,2020-21,0.6717666611075401,0.1084128841757774,0.5633537769317627,0.0077241724357008,0.320509135723114,Bulldozer (Fragile Star),,24.0,0.196,True,,13
Isaiah Livers,2021-22,0.6697253286838531,0.0696229040622711,0.600102424621582,0.0106361005455255,0.319638580083847,Bulldozer (Fragile Star),,23.0,0.125,True,,14
D'Angelo Russell,2017-18,0.6660829931497574,0.153463676571846,0.5126193165779114,0.016952957957983,0.3169640898704529,Bulldozer (Fragile Star),,22.0,0.295,True,,15
Troy Brown Jr.,2023-24,0.6644767001271247,0.0697976425290107,0.594679057598114,0.0118629783391952,0.3236602544784546,Bulldozer (Fragile Star),,24.0,0.139,True,,16
Isaiah Livers,2022-23,0.6572424322366714,0.0662933140993118,0.5909491181373596,0.0119892228394746,0.330768346786499,Bulldozer (Fragile Star),,24.0,0.117,True,,17
Josh Green,2023-24,0.6542838849127293,0.0622531808912754,0.5920307040214539,0.0065632266923785,0.3391528725624084,Bulldozer (Fragile Star),,23.0,0.129,True,,18
Hamidou Diallo,2020-21,0.6518604271113871,0.0562434308230876,0.5956169962882996,0.0098966304212808,0.3382429182529449,Bulldozer (Fragile Star),,22.0,0.218,True,,19
Sterling Brown,2018-19,0.6515172347426413,0.0757260546088218,0.5757911801338196,0.0132269579917192,0.3352558314800262,Bulldozer (Fragile Star),,24.0,0.149,True,,20
Cade Cunningham,2022-23,0.6512776017189026,0.1558675467967987,0.4954100549221039,0.0163491088896989,0.3323732912540436,Bulldozer (Fragile Star),,21.0,0.287,True,,21
Anfernee Simons,2021-22,0.649454154074192,0.071226455271244,0.578227698802948,0.0101712327450513,0.3403746485710144,Bulldozer (Fragile Star),,23.0,0.244,True,,22
Derrick Jones Jr.,2020-21,0.6486854664981365,0.0341442339122295,0.614541232585907,0.0075388643890619,0.3437756896018982,Bulldozer (Fragile Star),,24.0,0.122,True,,23
Brandon Ingram,2021-22,0.6477562338113785,0.1130179315805435,0.534738302230835,0.0097303288057446,0.3425134122371673,Bulldozer (Fragile Star),King (Resilient Star),24.0,0.291,True,True,24
Lauri Markkanen,2020-21,0.6464729718863964,0.0496827773749828,0.5967901945114136,0.0059187607839703,0.3476082384586334,Bulldozer (Fragile Star),,24.0,0.197,True,,25
Devin Booker,2017-18,0.645492285490036,0.1981675624847412,0.4473247230052948,0.0108783897012472,0.3436293303966522,Bulldozer (Fragile Star),,21.0,0.301,True,,26
Mario Hezonja,2018-19,0.6448945328593254,0.1098771020770073,0.5350174307823181,0.0097684608772397,0.3453369736671448,Bulldozer (Fragile Star),,24.0,0.208,True,,27
Lauri Markkanen,2019-20,0.6436470896005629,0.0567177087068557,0.5869293808937073,0.0151179265230894,0.3412349820137024,Bulldozer (Fragile Star),,23.0,0.209,True,,28
