player,season,star_potential,king_probability,bulldozer_probability,sniper_probability,victim_probability,predicted_archetype,actual_archetype,AGE,current_usage,CREATION_VOLUME_RATIO,LEVERAGE_USG_DELTA,LEVERAGE_TS_DELTA,EFG_ISO_WEIGHTED,is_star_predicted,is_star_actual,rank
Trendon Watford,2022-23,0.6218717098236083,0.0355292558670043,0.586342453956604,0.0146111911162734,0.3635171353816986,Bulldozer (Fragile Star),,22.0,0.158,0.4266304347826087,-0.036,0.275,0.5733566878980891,True,,1
De'Anthony Melton,2020-21,0.6136843934655188,0.0331380143761634,0.5805463790893555,0.0069864229299128,0.3793291747570038,Bulldozer (Fragile Star),,23.0,0.189,0.4308681672025723,-0.0179999999999999,0.211,0.4890485074626866,True,,2
Cason Wallace,2024-25,0.6105330027639866,0.0392246879637241,0.5713083148002625,0.0171769373118877,0.3722900450229645,Bulldozer (Fragile Star),,21.0,0.124,0.3875432525951557,-0.031,0.1699999999999999,0.5293035714285714,True,,3
Collin Sexton,2022-23,0.6090467385947703,0.0529107861220836,0.5561359524726868,0.0175150576978921,0.3734382688999176,Bulldozer (Fragile Star),,24.0,0.23,0.6693766937669376,-0.017,0.1149999999999999,0.5400728744939273,True,,4
Cameron Payne,2018-19,0.5962158292531966,0.0660800784826278,0.5301357507705688,0.017086299136281,0.3866978585720062,Bulldozer (Fragile Star),,24.0,0.169,0.5961995249406176,0.0059999999999999,0.017,0.5400557768924303,True,,5
Christian Braun,2022-23,0.5854172147810458,0.048997227102518,0.5364199876785278,0.0178671181201934,0.3967157006263733,Bulldozer (Fragile Star),,22.0,0.127,0.3155893536121673,-0.0129999999999999,0.097,0.5071325301204819,True,,6
Talen Horton-Tucker,2020-21,0.5779529437422752,0.0790565237402916,0.4988964200019836,0.0090784849599003,0.4129685461521148,Bulldozer (Fragile Star),,20.0,0.21,0.7205882352941178,0.065,0.2249999999999999,0.5295357142857143,True,,7
Coby White,2022-23,0.5654968097805976,0.0316131189465522,0.5338836908340454,0.0068244496360421,0.4276787638664245,Bulldozer (Fragile Star),,23.0,0.17,0.3909774436090225,-0.047,0.18,0.4924230769230769,True,,8
Cole Anthony,2022-23,0.5585810169577599,0.0402591452002525,0.5183218717575073,0.0118890777230262,0.4295299053192138,Bulldozer (Fragile Star),,23.0,0.209,0.6363636363636364,-0.031,0.066,0.5091923076923077,True,,9
Shai Gilgeous-Alexander,2020-21,0.5529457479715347,0.0821820646524429,0.4707636833190918,0.010984624736011,0.4360695481300354,Bulldozer (Fragile Star),,22.0,0.283,0.9104788341429564,0.17,0.054,0.5460990853658537,True,,10
Deni Avdija,2024-25,0.5381344333291054,0.0350926890969276,0.5030417442321777,0.0134512381628155,0.4484143257141113,Bulldozer (Fragile Star),,24.0,0.228,0.4421768707482993,-0.035,0.002,0.5320564102564104,True,,11
Tyler Herro,2019-20,0.518030073493719,0.0285948775708675,0.4894351959228515,0.0068861260078847,0.4750838279724121,Bulldozer (Fragile Star),King (Resilient Star),20.0,0.213,0.53125,-0.0209999999999999,0.1139999999999999,0.4724258823529412,True,True,12
Malcolm Brogdon,2016-17,0.5157612711191176,0.1011805981397628,0.4145806729793548,0.010002264752984,0.4742364883422851,Victim (Fragile Role),Victim (Fragile Role),24.0,0.182,0.5222381635581061,0.0229999999999999,0.0219999999999999,0.4393324175824176,False,False,13
Zion Williamson,2024-25,0.5149392187595367,0.0506540238857269,0.4642851948738098,0.0146879348903894,0.4703728556632995,Victim (Fragile Role),,24.0,0.325,0.7484822202948829,-0.033,0.038,0.5542746234067207,False,,14
Davion Mitchell,2022-23,0.5082942470908164,0.0776261314749717,0.4306681156158447,0.0165811609476804,0.4751245975494385,Victim (Fragile Role),,24.0,0.14,0.5174129353233832,-0.03,0.1819999999999999,0.485076923076923,False,,15
Raul Neto,2015-16,0.5014901086688042,0.0738721713423729,0.4276179373264313,0.0142696369439363,0.4842402338981628,Victim (Fragile Role),,24.0,0.172,0.5251256281407035,-0.0169999999999999,0.0349999999999999,0.464688995215311,False,,16
Aaron Holiday,2020-21,0.4995559155941009,0.0772877633571624,0.4222681522369385,0.0148922130465507,0.4855518937110901,Victim (Fragile Role),,24.0,0.189,0.5188284518828452,-0.035,0.256,0.4449838709677419,False,,17
Trendon Watford,2024-25,0.4948762953281402,0.0819338858127594,0.4129424095153808,0.0208534058183431,0.4842702746391296,Victim (Fragile Role),,24.0,0.226,0.62557781201849,-0.021,0.1729999999999999,0.5108620689655172,False,,18
Jalen Williams,2023-24,0.4944919943809508,0.1104663908481597,0.3840256035327911,0.0075422511436045,0.4979657232761383,Victim (Fragile Role),Victim (Fragile Role),23.0,0.232,0.6942291128337639,0.034,0.181,0.5307642679900746,False,False,19
Tyrese Haliburton,2023-24,0.48952732980251307,0.0720560103654861,0.417471319437027,0.0063115288503468,0.5041611194610596,Victim (Fragile Role),Victim (Fragile Role),24.0,0.239,0.7988064791133845,0.061,0.08,0.5442166488794024,False,False,20
Terence Davis,2020-21,0.48636180907487864,0.0747264698147773,0.4116353392601013,0.0129769816994667,0.5006611943244934,Victim (Fragile Role),,24.0,0.213,0.3758620689655172,-0.002,0.1749999999999999,0.4882018348623853,False,,21
Terance Mann,2020-21,0.48617170751094807,0.1363058537244796,0.3498658537864685,0.0106995981186628,0.503128707408905,Victim (Fragile Role),,24.0,0.144,0.463157894736842,0.072,0.033,0.4281136363636363,False,,22
Jalen Green,2021-22,0.4844265095889568,0.0387153439223766,0.4457111656665802,0.0099031385034322,0.5056703686714172,Victim (Fragile Role),,20.0,0.234,0.5667259786476868,-0.031,0.0319999999999999,0.4591758241758241,False,,23
Rodney Hood,2016-17,0.4786051735281944,0.0414353236556053,0.4371698498725891,0.0072630769573152,0.5141317248344421,Victim (Fragile Role),Victim (Fragile Role),24.0,0.227,0.5023474178403756,-0.03,0.0979999999999999,0.4185560747663551,False,False,24
Zion Williamson,2020-21,0.4777666814625262,0.0386260636150836,0.4391406178474426,0.005839214194566,0.5163941383361816,Victim (Fragile Role),,20.0,0.287,0.5467032967032966,-0.0259999999999999,0.024,0.5661256281407034,False,,25
Derrick White,2018-19,0.4736874625086784,0.0899695977568626,0.3837178647518158,0.0117176277562975,0.5145949125289917,Victim (Fragile Role),King (Resilient Star),24.0,0.178,0.6570945945945945,0.06,0.1089999999999999,0.5114575835475579,False,True,26
Jake LaRavia,2023-24,0.473028965294361,0.1012096777558326,0.3718192875385284,0.0163677409291267,0.5106033086776733,Victim (Fragile Role),,22.0,0.201,0.3420245398773006,-0.015,0.019,0.4418789237668161,False,,27
Tyus Jones,2017-18,0.4699126034975051,0.0945779532194137,0.3753346502780914,0.0147691965103149,0.5153181552886963,Victim (Fragile Role),,22.0,0.124,0.5046439628482972,-0.001,0.261,0.4327914110429448,False,,28
Spencer Dinwiddie,2016-17,0.4692457914352416,0.2277758568525314,0.2414699345827102,0.0074709616601467,0.5232832431793213,Victim (Fragile Role),,24.0,0.14,0.7365728900255754,0.093,0.218,0.4643402777777777,False,,29
Jalen Brunson,2019-20,0.4662654101848602,0.1020994782447815,0.3641659319400787,0.024506764486432,0.5092278122901917,Victim (Fragile Role),,23.0,0.199,0.7021276595744681,0.0209999999999999,0.0499999999999999,0.5096005509641873,False,,30
Isaiah Roby,2020-21,0.4619145952165126,0.0321074984967708,0.4298070967197418,0.0057855453342199,0.5322998762130737,Victim (Fragile Role),,23.0,0.171,0.3291139240506328,-0.03,0.0099999999999998,0.4312307692307692,False,,31
Wayne Selden,2017-18,0.4595397859811782,0.0860198885202407,0.3735198974609375,0.0138365495949983,0.5266236662864685,Victim (Fragile Role),,23.0,0.212,0.4766187050359711,-0.0089999999999999,0.1449999999999999,0.4728528301886792,False,,32
Kyle Anderson,2017-18,0.4538406282663344,0.077491208910942,0.3763494193553924,0.0075299474410712,0.538629412651062,Victim (Fragile Role),,24.0,0.133,0.3932038834951456,-0.001,0.063,0.4627037037037037,False,,33
Kevin Porter Jr.,2019-20,0.4528930783271789,0.0957651436328888,0.3571279346942901,0.0059297299012541,0.5411772131919861,Victim (Fragile Role),,20.0,0.202,0.553125,0.0339999999999999,0.0989999999999999,0.435050847457627,False,,34
Bones Hyland,2022-23,0.45086634904146194,0.0975188687443733,0.3533474802970886,0.0156861934810876,0.5334474444389343,Victim (Fragile Role),,22.0,0.271,0.6146341463414635,-0.016,0.0749999999999999,0.4342777777777777,False,,35
Patrick Williams,2023-24,0.45069708675146103,0.0687979385256767,0.3818991482257843,0.0123001867905259,0.5370027422904968,Victim (Fragile Role),,22.0,0.163,0.3852596314907872,-0.0259999999999999,0.0239999999999999,0.4194173913043478,False,,36
Jordan Poole,2020-21,0.4500046521425246,0.0806156247854232,0.3693890273571014,0.01303724758327,0.5369580984115601,Victim (Fragile Role),,22.0,0.246,0.3746355685131195,-0.01,0.142,0.4310933852140078,False,,37
Ja Morant,2023-24,0.44551347941160196,0.0544284805655479,0.3910849988460541,0.0222367569804191,0.5322497487068176,Victim (Fragile Role),,24.0,0.296,0.8014796547472257,-0.0259999999999999,0.172,0.5039615384615385,False,,38
Kyle Anderson,2015-16,0.4322429597377777,0.0952341556549072,0.3370088040828705,0.0313116423785686,0.5364453792572021,Victim (Fragile Role),,22.0,0.143,0.5601659751037343,0.016,0.4169999999999999,0.4959037037037037,False,,39
Kevin Porter Jr.,2020-21,0.4314521849155425,0.1932738274335861,0.2381783574819564,0.0178637858480215,0.5506840348243713,Victim (Fragile Role),,21.0,0.247,0.7407087294727744,0.0389999999999999,0.2069999999999999,0.4928774795799299,False,,40
Shai Gilgeous-Alexander,2018-19,0.4313201997429132,0.0301862750202417,0.4011339247226715,0.0112513750791549,0.5574284195899963,Victim (Fragile Role),Sniper (Resilient Role),20.0,0.182,0.7429420505200593,-0.037,0.0399999999999999,0.50356,False,False,41
Ricky Council IV,2023-24,0.4284010231494903,0.1125567257404327,0.3158442974090576,0.0181050784885883,0.553493857383728,Victim (Fragile Role),,22.0,0.208,0.4677419354838709,-0.003,0.139,0.444551724137931,False,,42
D'Angelo Russell,2015-16,0.4282835349440574,0.0750964805483818,0.3531870543956756,0.0109648341313004,0.5607516765594482,Victim (Fragile Role),,20.0,0.238,0.5993975903614458,-0.0129999999999999,0.125,0.448681742043551,False,,43
Kyrie Irving,2015-16,0.4250089526176452,0.2180784791707992,0.206930473446846,0.0115661369636654,0.5634249448776245,Victim (Fragile Role),King (Resilient Star),24.0,0.285,0.7768953068592058,0.044,0.0489999999999999,0.4853708178438661,False,True,44
Elfrid Payton,2017-18,0.416749469935894,0.0717879459261894,0.3449615240097046,0.0142079535871744,0.5690425634384155,Victim (Fragile Role),,24.0,0.211,0.7859495060373217,-0.03,0.0369999999999999,0.4966047486033519,False,,45
